Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.7777, 0.6287], device='cuda:0', requires_grad=True) train_loss=[1.4273628 1.6867273], train_acc=[0.52435 0.42965]
90/100: weight=tensor([0.7762, 0.6304], device='cuda:0', requires_grad=True) train_loss=[0.2955649  0.37794134], train_acc=[0.9036  0.87545]
92/100: weight=tensor([0.7577, 0.6527], device='cuda:0', requires_grad=True) train_loss=[0.2971766  0.38186228], train_acc=[0.90265 0.875  ]
94/100: weight=tensor([0.7563, 0.6543], device='cuda:0', requires_grad=True) train_loss=[0.30044097 0.3661288 ], train_acc=[0.90075 0.87865]
96/100: weight=tensor([0.7837, 0.6211], device='cuda:0', requires_grad=True) train_loss=[0.29982653 0.38013852], train_acc=[0.90275 0.8743 ]
98/100: weight=tensor([0.7404, 0.6721], device='cuda:0', requires_grad=True) train_loss=[0.29521614 0.37465864], train_acc=[0.9019  0.87435]
100/100: weight=tensor([0.7310, 0.6824], device='cuda:0', requires_grad=True) train_loss=[0.28897232 0.36036476], train_acc=[0.90445 0.8799 ]
**** Time taken for mnist_0 = 5100.203006744385
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.6957, 0.7183], device='cuda:0', requires_grad=True) train_loss=[1.330922 1.468351], train_acc=[0.55715 0.49355]
2/100: weight=tensor([0.7728, 0.6347], device='cuda:0', requires_grad=True) train_loss=[0.95118713 1.0751843 ], train_acc=[0.6907 0.6318]
4/100: weight=tensor([0.6906, 0.7233], device='cuda:0', requires_grad=True) train_loss=[0.66335523 0.76954883], train_acc=[0.7855 0.7421]
6/100: weight=tensor([0.6454, 0.7639], device='cuda:0', requires_grad=True) train_loss=[0.5623974  0.67020625], train_acc=[0.8168  0.77215]
8/100: weight=tensor([0.6989, 0.7152], device='cuda:0', requires_grad=True) train_loss=[0.5134959  0.61225796], train_acc=[0.83325 0.79635]
10/100: weight=tensor([0.6785, 0.7346], device='cuda:0', requires_grad=True) train_loss=[0.51120573 0.57455796], train_acc=[0.8346 0.8065]
12/100: weight=tensor([0.7453, 0.6667], device='cuda:0', requires_grad=True) train_loss=[0.48522824 0.54325694], train_acc=[0.84265 0.8181 ]
14/100: weight=tensor([0.6984, 0.7157], device='cuda:0', requires_grad=True) train_loss=[0.4319777 0.50408  ], train_acc=[0.858   0.83205]
16/100: weight=tensor([0.7660, 0.6429], device='cuda:0', requires_grad=True) train_loss=[0.41475132 0.4943785 ], train_acc=[0.8665  0.83355]
18/100: weight=tensor([0.6624, 0.7492], device='cuda:0', requires_grad=True) train_loss=[0.40069172 0.47154072], train_acc=[0.86935 0.84395]
20/100: weight=tensor([0.7081, 0.7061], device='cuda:0', requires_grad=True) train_loss=[0.41250485 0.46777877], train_acc=[0.86815 0.8447 ]
22/100: weight=tensor([0.7021, 0.7121], device='cuda:0', requires_grad=True) train_loss=[0.3847103  0.45089626], train_acc=[0.87485 0.84985]
24/100: weight=tensor([0.7151, 0.6990], device='cuda:0', requires_grad=True) train_loss=[0.36620083 0.4464532 ], train_acc=[0.88225 0.84955]
26/100: weight=tensor([0.7552, 0.6555], device='cuda:0', requires_grad=True) train_loss=[0.36079141 0.43765536], train_acc=[0.8818  0.85385]
28/100: weight=tensor([0.7187, 0.6953], device='cuda:0', requires_grad=True) train_loss=[0.3589733  0.45071194], train_acc=[0.88195 0.85035]
30/100: weight=tensor([0.7138, 0.7004], device='cuda:0', requires_grad=True) train_loss=[0.35694018 0.42673585], train_acc=[0.88315 0.85775]
32/100: weight=tensor([0.7516, 0.6596], device='cuda:0', requires_grad=True) train_loss=[0.35154963 0.41059452], train_acc=[0.8852 0.8625]
34/100: weight=tensor([0.7253, 0.6884], device='cuda:0', requires_grad=True) train_loss=[0.33893663 0.4133292 ], train_acc=[0.89025 0.86065]
36/100: weight=tensor([0.7376, 0.6752], device='cuda:0', requires_grad=True) train_loss=[0.3351389 0.4054981], train_acc=[0.8906  0.86405]
38/100: weight=tensor([0.7763, 0.6304], device='cuda:0', requires_grad=True) train_loss=[0.33084425 0.41611812], train_acc=[0.89155 0.8604 ]
40/100: weight=tensor([0.6968, 0.7173], device='cuda:0', requires_grad=True) train_loss=[0.33505738 0.39527115], train_acc=[0.89235 0.8679 ]
42/100: weight=tensor([0.7288, 0.6847], device='cuda:0', requires_grad=True) train_loss=[0.32137364 0.39617103], train_acc=[0.895   0.86605]
44/100: weight=tensor([0.6961, 0.7179], device='cuda:0', requires_grad=True) train_loss=[0.32007435 0.39744082], train_acc=[0.8958  0.86555]
46/100: weight=tensor([0.7230, 0.6909], device='cuda:0', requires_grad=True) train_loss=[0.3137032 0.3878425], train_acc=[0.8969  0.86955]
48/100: weight=tensor([0.7265, 0.6872], device='cuda:0', requires_grad=True) train_loss=[0.31596893 0.39649606], train_acc=[0.8977 0.8668]
50/100: weight=tensor([0.6879, 0.7259], device='cuda:0', requires_grad=True) train_loss=[0.31096688 0.38785914], train_acc=[0.89825 0.8677 ]
52/100: weight=tensor([0.7463, 0.6656], device='cuda:0', requires_grad=True) train_loss=[0.3194165  0.38967195], train_acc=[0.8963  0.86895]
54/100: weight=tensor([0.7014, 0.7128], device='cuda:0', requires_grad=True) train_loss=[0.3081326 0.3803583], train_acc=[0.89875 0.8703 ]
56/100: weight=tensor([0.7087, 0.7055], device='cuda:0', requires_grad=True) train_loss=[0.3062332  0.38322774], train_acc=[0.9013  0.87025]
58/100: weight=tensor([0.7099, 0.7043], device='cuda:0', requires_grad=True) train_loss=[0.30606228 0.37337124], train_acc=[0.89905 0.87395]
60/100: weight=tensor([0.7443, 0.6679], device='cuda:0', requires_grad=True) train_loss=[0.30527645 0.37838894], train_acc=[0.8995  0.87255]
62/100: weight=tensor([0.6968, 0.7172], device='cuda:0', requires_grad=True) train_loss=[0.3013273  0.37700066], train_acc=[0.90295 0.87355]
64/100: weight=tensor([0.7228, 0.6910], device='cuda:0', requires_grad=True) train_loss=[0.3208326  0.39634955], train_acc=[0.89425 0.86585]
66/100: weight=tensor([0.7356, 0.6774], device='cuda:0', requires_grad=True) train_loss=[0.29991785 0.37204483], train_acc=[0.9026 0.8738]
68/100: weight=tensor([0.7569, 0.6535], device='cuda:0', requires_grad=True) train_loss=[0.33978015 0.40237018], train_acc=[0.88935 0.8647 ]
70/100: weight=tensor([0.7180, 0.6961], device='cuda:0', requires_grad=True) train_loss=[0.29288244 0.37098545], train_acc=[0.90445 0.87415]
72/100: weight=tensor([0.7115, 0.7027], device='cuda:0', requires_grad=True) train_loss=[0.29477307 0.36648664], train_acc=[0.9043 0.8774]
74/100: weight=tensor([0.7374, 0.6755], device='cuda:0', requires_grad=True) train_loss=[0.29166666 0.37421477], train_acc=[0.90645 0.8742 ]
76/100: weight=tensor([0.7319, 0.6814], device='cuda:0', requires_grad=True) train_loss=[0.2871402  0.36181605], train_acc=[0.90715 0.8792 ]
78/100: weight=tensor([0.7356, 0.6774], device='cuda:0', requires_grad=True) train_loss=[0.2981355 0.3601599], train_acc=[0.90415 0.8794 ]
80/100: weight=tensor([0.7286, 0.6850], device='cuda:0', requires_grad=True) train_loss=[0.29066893 0.3615005 ], train_acc=[0.90555 0.87905]
82/100: weight=tensor([0.7537, 0.6573], device='cuda:0', requires_grad=True) train_loss=[0.28384343 0.36790007], train_acc=[0.9085 0.8762]
84/100: weight=tensor([0.7319, 0.6815], device='cuda:0', requires_grad=True) train_loss=[0.28705475 0.36088946], train_acc=[0.90685 0.8782 ]
86/100: weight=tensor([0.7361, 0.6768], device='cuda:0', requires_grad=True) train_loss=[0.28381237 0.35780472], train_acc=[0.907  0.8808]
88/100: weight=tensor([0.7242, 0.6896], device='cuda:0', requires_grad=True) train_loss=[0.29482794 0.36665735], train_acc=[0.90255 0.87755]
90/100: weight=tensor([0.7283, 0.6852], device='cuda:0', requires_grad=True) train_loss=[0.28105015 0.35342863], train_acc=[0.9076 0.8824]
92/100: weight=tensor([0.7202, 0.6938], device='cuda:0', requires_grad=True) train_loss=[0.28712925 0.3600639 ], train_acc=[0.9069 0.8798]
94/100: weight=tensor([0.7261, 0.6876], device='cuda:0', requires_grad=True) train_loss=[0.2814519  0.35710362], train_acc=[0.9094 0.8799]
96/100: weight=tensor([0.7348, 0.6783], device='cuda:0', requires_grad=True) train_loss=[0.28189382 0.35579622], train_acc=[0.9082 0.8817]
98/100: weight=tensor([0.7222, 0.6917], device='cuda:0', requires_grad=True) train_loss=[0.2850765  0.36134616], train_acc=[0.90815 0.8785 ]
100/100: weight=tensor([0.7086, 0.7056], device='cuda:0', requires_grad=True) train_loss=[0.27707556 0.37047496], train_acc=[0.91015 0.8753 ]
**** Time taken for mnist_1 = 3745.787781715393
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.8068, 0.5908], device='cuda:0', requires_grad=True) train_loss=[1.2747993 1.5487639], train_acc=[0.58035 0.47645]
2/100: weight=tensor([0.7220, 0.6919], device='cuda:0', requires_grad=True) train_loss=[0.9764533 1.183693 ], train_acc=[0.6814  0.60435]
4/100: weight=tensor([0.7173, 0.6968], device='cuda:0', requires_grad=True) train_loss=[0.7221206 0.896842 ], train_acc=[0.76965 0.7038 ]
6/100: weight=tensor([0.7073, 0.7069], device='cuda:0', requires_grad=True) train_loss=[0.5982547 0.7817165], train_acc=[0.80945 0.74195]
8/100: weight=tensor([0.7365, 0.6764], device='cuda:0', requires_grad=True) train_loss=[0.530012   0.67833537], train_acc=[0.8298 0.7805]
10/100: weight=tensor([0.7643, 0.6449], device='cuda:0', requires_grad=True) train_loss=[0.48672014 0.62172884], train_acc=[0.843   0.79665]
12/100: weight=tensor([0.7297, 0.6838], device='cuda:0', requires_grad=True) train_loss=[0.46272025 0.61083543], train_acc=[0.84895 0.7964 ]
14/100: weight=tensor([0.7311, 0.6822], device='cuda:0', requires_grad=True) train_loss=[0.4651553 0.5654821], train_acc=[0.84665 0.8138 ]
16/100: weight=tensor([0.7268, 0.6868], device='cuda:0', requires_grad=True) train_loss=[0.42596185 0.5305014 ], train_acc=[0.8635 0.826 ]
18/100: weight=tensor([0.7778, 0.6285], device='cuda:0', requires_grad=True) train_loss=[0.40972447 0.51909494], train_acc=[0.8672 0.8283]
20/100: weight=tensor([0.7570, 0.6535], device='cuda:0', requires_grad=True) train_loss=[0.3992955 0.5261405], train_acc=[0.8708 0.8236]
22/100: weight=tensor([0.7402, 0.6724], device='cuda:0', requires_grad=True) train_loss=[0.39758265 0.4994728 ], train_acc=[0.8702  0.83285]
24/100: weight=tensor([0.6911, 0.7228], device='cuda:0', requires_grad=True) train_loss=[0.3856717  0.47968486], train_acc=[0.87555 0.8412 ]
26/100: weight=tensor([0.7803, 0.6254], device='cuda:0', requires_grad=True) train_loss=[0.3717377  0.47203505], train_acc=[0.87875 0.8426 ]
28/100: weight=tensor([0.7695, 0.6387], device='cuda:0', requires_grad=True) train_loss=[0.36610714 0.48409185], train_acc=[0.88165 0.83895]
30/100: weight=tensor([0.7276, 0.6860], device='cuda:0', requires_grad=True) train_loss=[0.3851473  0.45422268], train_acc=[0.87525 0.84895]
32/100: weight=tensor([0.6818, 0.7316], device='cuda:0', requires_grad=True) train_loss=[0.36445826 0.4585642 ], train_acc=[0.88115 0.84795]
34/100: weight=tensor([0.7215, 0.6924], device='cuda:0', requires_grad=True) train_loss=[0.3667481  0.44838485], train_acc=[0.88105 0.85215]
36/100: weight=tensor([0.7461, 0.6658], device='cuda:0', requires_grad=True) train_loss=[0.35728762 0.43188903], train_acc=[0.88645 0.86005]
38/100: weight=tensor([0.7528, 0.6583], device='cuda:0', requires_grad=True) train_loss=[0.3490575  0.43596688], train_acc=[0.8862 0.8555]
40/100: weight=tensor([0.7151, 0.6991], device='cuda:0', requires_grad=True) train_loss=[0.34754276 0.42261878], train_acc=[0.88715 0.86305]
42/100: weight=tensor([0.7396, 0.6731], device='cuda:0', requires_grad=True) train_loss=[0.35136783 0.42391202], train_acc=[0.8852  0.86325]
44/100: weight=tensor([0.7017, 0.7125], device='cuda:0', requires_grad=True) train_loss=[0.33829382 0.406696  ], train_acc=[0.89065 0.86625]
46/100: weight=tensor([0.7284, 0.6851], device='cuda:0', requires_grad=True) train_loss=[0.33930892 0.41142106], train_acc=[0.8882  0.86555]
48/100: weight=tensor([0.6899, 0.7239], device='cuda:0', requires_grad=True) train_loss=[0.34280634 0.41650555], train_acc=[0.88885 0.86455]
50/100: weight=tensor([0.7385, 0.6742], device='cuda:0', requires_grad=True) train_loss=[0.347789   0.42100796], train_acc=[0.8876 0.8598]
52/100: weight=tensor([0.7399, 0.6727], device='cuda:0', requires_grad=True) train_loss=[0.3262391  0.40263256], train_acc=[0.89305 0.86655]
54/100: weight=tensor([0.7300, 0.6835], device='cuda:0', requires_grad=True) train_loss=[0.3324534 0.4000422], train_acc=[0.89075 0.86945]
56/100: weight=tensor([0.7076, 0.7067], device='cuda:0', requires_grad=True) train_loss=[0.335116   0.39001504], train_acc=[0.8909  0.87405]
58/100: weight=tensor([0.6848, 0.7287], device='cuda:0', requires_grad=True) train_loss=[0.3173517  0.39067474], train_acc=[0.89595 0.8723 ]
60/100: weight=tensor([0.7400, 0.6726], device='cuda:0', requires_grad=True) train_loss=[0.32910275 0.38754776], train_acc=[0.8909 0.8724]
62/100: weight=tensor([0.7316, 0.6818], device='cuda:0', requires_grad=True) train_loss=[0.3150557  0.37985635], train_acc=[0.8977  0.87465]
64/100: weight=tensor([0.7225, 0.6914], device='cuda:0', requires_grad=True) train_loss=[0.31007612 0.38420656], train_acc=[0.8995 0.8767]
66/100: weight=tensor([0.7189, 0.6951], device='cuda:0', requires_grad=True) train_loss=[0.311357   0.37991038], train_acc=[0.89955 0.87635]
68/100: weight=tensor([0.7601, 0.6498], device='cuda:0', requires_grad=True) train_loss=[0.30768335 0.37202018], train_acc=[0.90075 0.87785]
70/100: weight=tensor([0.6863, 0.7273], device='cuda:0', requires_grad=True) train_loss=[0.30897304 0.38180706], train_acc=[0.8997 0.8758]
72/100: weight=tensor([0.7402, 0.6724], device='cuda:0', requires_grad=True) train_loss=[0.31202233 0.38276422], train_acc=[0.89905 0.8747 ]
74/100: weight=tensor([0.7649, 0.6442], device='cuda:0', requires_grad=True) train_loss=[0.3137999  0.38674575], train_acc=[0.89815 0.8739 ]
76/100: weight=tensor([0.7515, 0.6597], device='cuda:0', requires_grad=True) train_loss=[0.3063798 0.3827046], train_acc=[0.9005  0.87565]
78/100: weight=tensor([0.7043, 0.7099], device='cuda:0', requires_grad=True) train_loss=[0.3024005 0.3669684], train_acc=[0.902   0.88025]
80/100: weight=tensor([0.7607, 0.6491], device='cuda:0', requires_grad=True) train_loss=[0.32691777 0.39784646], train_acc=[0.8938  0.86975]
82/100: weight=tensor([0.7693, 0.6389], device='cuda:0', requires_grad=True) train_loss=[0.30174646 0.3658317 ], train_acc=[0.90105 0.87985]
84/100: weight=tensor([0.7386, 0.6742], device='cuda:0', requires_grad=True) train_loss=[0.29370648 0.36280075], train_acc=[0.9051 0.8808]
86/100: weight=tensor([0.7484, 0.6633], device='cuda:0', requires_grad=True) train_loss=[0.30033937 0.36082447], train_acc=[0.90315 0.88265]
88/100: weight=tensor([0.7518, 0.6594], device='cuda:0', requires_grad=True) train_loss=[0.2916665  0.36240107], train_acc=[0.9058  0.88105]
90/100: weight=tensor([0.7543, 0.6565], device='cuda:0', requires_grad=True) train_loss=[0.29278156 0.37305355], train_acc=[0.90465 0.87705]
92/100: weight=tensor([0.7586, 0.6516], device='cuda:0', requires_grad=True) train_loss=[0.2896052  0.36494693], train_acc=[0.9063 0.881 ]
94/100: weight=tensor([0.7450, 0.6671], device='cuda:0', requires_grad=True) train_loss=[0.2961244 0.3650678], train_acc=[0.9043  0.88135]
96/100: weight=tensor([0.7523, 0.6588], device='cuda:0', requires_grad=True) train_loss=[0.28859577 0.3549156 ], train_acc=[0.90635 0.88455]
98/100: weight=tensor([0.7621, 0.6475], device='cuda:0', requires_grad=True) train_loss=[0.29117963 0.35353312], train_acc=[0.9051 0.8834]
100/100: weight=tensor([0.7380, 0.6748], device='cuda:0', requires_grad=True) train_loss=[0.29910558 0.36653343], train_acc=[0.9027  0.88115]
**** Time taken for mnist_2 = 3388.3082959651947
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.6015, 0.7989], device='cuda:0', requires_grad=True) train_loss=[1.9406495 1.970987 ], train_acc=[0.3111 0.3207]
2/100: weight=tensor([0.6614, 0.7500], device='cuda:0', requires_grad=True) train_loss=[1.5297394 1.4574956], train_acc=[0.46555 0.4838 ]
4/100: weight=tensor([0.6402, 0.7682], device='cuda:0', requires_grad=True) train_loss=[0.9500024 0.977606 ], train_acc=[0.681  0.6678]
6/100: weight=tensor([0.6914, 0.7225], device='cuda:0', requires_grad=True) train_loss=[0.750658  0.7858422], train_acc=[0.74835 0.72735]
8/100: weight=tensor([0.6698, 0.7426], device='cuda:0', requires_grad=True) train_loss=[0.6523952 0.6914695], train_acc=[0.78375 0.76835]
10/100: weight=tensor([0.6519, 0.7583], device='cuda:0', requires_grad=True) train_loss=[0.61187893 0.6311434 ], train_acc=[0.79905 0.7894 ]
12/100: weight=tensor([0.6358, 0.7719], device='cuda:0', requires_grad=True) train_loss=[0.5749043  0.60414416], train_acc=[0.8084  0.79535]
14/100: weight=tensor([0.6044, 0.7967], device='cuda:0', requires_grad=True) train_loss=[0.52698445 0.5904292 ], train_acc=[0.826   0.80075]
16/100: weight=tensor([0.6116, 0.7911], device='cuda:0', requires_grad=True) train_loss=[0.50198287 0.5767911 ], train_acc=[0.834  0.7999]
18/100: weight=tensor([0.6177, 0.7864], device='cuda:0', requires_grad=True) train_loss=[0.4781136  0.51982456], train_acc=[0.84395 0.8255 ]
20/100: weight=tensor([0.6427, 0.7661], device='cuda:0', requires_grad=True) train_loss=[0.4620336  0.51773876], train_acc=[0.8512  0.82555]
22/100: weight=tensor([0.6570, 0.7539], device='cuda:0', requires_grad=True) train_loss=[0.4730053 0.4891569], train_acc=[0.8447 0.8336]
24/100: weight=tensor([0.6627, 0.7489], device='cuda:0', requires_grad=True) train_loss=[0.4405027  0.47603676], train_acc=[0.858   0.84045]
26/100: weight=tensor([0.5920, 0.8060], device='cuda:0', requires_grad=True) train_loss=[0.43310103 0.46627694], train_acc=[0.86115 0.84485]
28/100: weight=tensor([0.6062, 0.7953], device='cuda:0', requires_grad=True) train_loss=[0.43156976 0.44852853], train_acc=[0.85765 0.8496 ]
30/100: weight=tensor([0.6198, 0.7847], device='cuda:0', requires_grad=True) train_loss=[0.42144486 0.48368552], train_acc=[0.86205 0.83975]
32/100: weight=tensor([0.6137, 0.7895], device='cuda:0', requires_grad=True) train_loss=[0.4161633 0.4373259], train_acc=[0.86415 0.8536 ]
34/100: weight=tensor([0.6315, 0.7754], device='cuda:0', requires_grad=True) train_loss=[0.40361068 0.43005565], train_acc=[0.86885 0.854  ]
36/100: weight=tensor([0.5540, 0.8325], device='cuda:0', requires_grad=True) train_loss=[0.4058411  0.43163794], train_acc=[0.86765 0.85275]
38/100: weight=tensor([0.5983, 0.8013], device='cuda:0', requires_grad=True) train_loss=[0.4029652 0.4233087], train_acc=[0.86925 0.85755]
40/100: weight=tensor([0.6012, 0.7991], device='cuda:0', requires_grad=True) train_loss=[0.40531805 0.4214313 ], train_acc=[0.87075 0.85985]
42/100: weight=tensor([0.6146, 0.7888], device='cuda:0', requires_grad=True) train_loss=[0.39334717 0.43139318], train_acc=[0.8725 0.8577]
44/100: weight=tensor([0.5878, 0.8090], device='cuda:0', requires_grad=True) train_loss=[0.3963075 0.416256 ], train_acc=[0.8695 0.8588]
46/100: weight=tensor([0.6392, 0.7691], device='cuda:0', requires_grad=True) train_loss=[0.38674432 0.41620198], train_acc=[0.87485 0.8614 ]
48/100: weight=tensor([0.6378, 0.7702], device='cuda:0', requires_grad=True) train_loss=[0.3829923 0.4021414], train_acc=[0.87525 0.86585]
50/100: weight=tensor([0.6212, 0.7837], device='cuda:0', requires_grad=True) train_loss=[0.38825247 0.3902159 ], train_acc=[0.8751 0.8692]
52/100: weight=tensor([0.6382, 0.7698], device='cuda:0', requires_grad=True) train_loss=[0.37743452 0.38806692], train_acc=[0.87745 0.87095]
54/100: weight=tensor([0.6061, 0.7954], device='cuda:0', requires_grad=True) train_loss=[0.3696106  0.38293606], train_acc=[0.8812 0.871 ]
56/100: weight=tensor([0.6111, 0.7916], device='cuda:0', requires_grad=True) train_loss=[0.37065557 0.38815153], train_acc=[0.8797 0.8708]
58/100: weight=tensor([0.6292, 0.7772], device='cuda:0', requires_grad=True) train_loss=[0.36453906 0.38074484], train_acc=[0.88275 0.8727 ]
60/100: weight=tensor([0.5980, 0.8015], device='cuda:0', requires_grad=True) train_loss=[0.36366388 0.38912234], train_acc=[0.88245 0.87005]
62/100: weight=tensor([0.6290, 0.7774], device='cuda:0', requires_grad=True) train_loss=[0.37185815 0.37632212], train_acc=[0.8788 0.8736]
