==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.5123261 1.7083005], train_acc=[0.50055 0.41355]
26/100: train_loss=[0.44134194 0.47712356], train_acc=[0.85545 0.841  ]
28/100: train_loss=[0.42290232 0.46922767], train_acc=[0.862  0.8392]
30/100: train_loss=[0.41091245 0.46470702], train_acc=[0.8655  0.84405]
32/100: train_loss=[0.41178676 0.44957927], train_acc=[0.8652  0.84975]
34/100: train_loss=[0.40052325 0.48553824], train_acc=[0.86695 0.83925]
36/100: train_loss=[0.44252738 0.44861352], train_acc=[0.85545 0.84545]
38/100: train_loss=[0.38760883 0.42526448], train_acc=[0.87185 0.8574 ]
40/100: train_loss=[0.38592806 0.42596987], train_acc=[0.87345 0.85675]
42/100: train_loss=[0.4082985 0.4349463], train_acc=[0.86685 0.8545 ]
44/100: train_loss=[0.37258008 0.42789963], train_acc=[0.87765 0.8568 ]
46/100: train_loss=[0.37429655 0.43047738], train_acc=[0.8783  0.85555]
48/100: train_loss=[0.36567235 0.41942927], train_acc=[0.88085 0.86045]
50/100: train_loss=[0.37024024 0.4074245 ], train_acc=[0.88015 0.8642 ]
52/100: train_loss=[0.35744187 0.4161757 ], train_acc=[0.8825  0.86035]
54/100: train_loss=[0.35606623 0.41868746], train_acc=[0.8834  0.86045]
56/100: train_loss=[0.35641155 0.4047044 ], train_acc=[0.8819  0.86335]
58/100: train_loss=[0.39168343 0.41516548], train_acc=[0.8697  0.86005]
60/100: train_loss=[0.35785228 0.3957386 ], train_acc=[0.8831  0.86675]
62/100: train_loss=[0.36424732 0.4280653 ], train_acc=[0.8831  0.85765]
64/100: train_loss=[0.35130715 0.39189795], train_acc=[0.8863 0.8681]
66/100: train_loss=[0.36243612 0.4011917 ], train_acc=[0.8801 0.8652]
68/100: train_loss=[0.33797717 0.3848948 ], train_acc=[0.88805 0.87145]
70/100: train_loss=[0.3397269 0.3870458], train_acc=[0.8899  0.86875]
72/100: train_loss=[0.33606344 0.38767776], train_acc=[0.8885 0.8696]
74/100: train_loss=[0.33612067 0.37761655], train_acc=[0.88915 0.874  ]
76/100: train_loss=[0.3482397  0.38738483], train_acc=[0.8847 0.8695]
78/100: train_loss=[0.33387393 0.39748624], train_acc=[0.8892  0.86815]
80/100: train_loss=[0.33148342 0.3759779 ], train_acc=[0.89235 0.87395]
82/100: train_loss=[0.33961535 0.3724147 ], train_acc=[0.88805 0.8755 ]
84/100: train_loss=[0.33664244 0.38181257], train_acc=[0.88845 0.8708 ]
86/100: train_loss=[0.32793206 0.3755896 ], train_acc=[0.8923  0.87275]
88/100: train_loss=[0.33250555 0.37379047], train_acc=[0.89045 0.87515]
90/100: train_loss=[0.3309149 0.3695368], train_acc=[0.8909  0.87615]
92/100: train_loss=[0.32678655 0.38064212], train_acc=[0.8929 0.8731]
94/100: train_loss=[0.3359057  0.37730765], train_acc=[0.89    0.87505]
96/100: train_loss=[0.3242125 0.3621641], train_acc=[0.89435 0.8786 ]
98/100: train_loss=[0.32825303 0.37349796], train_acc=[0.89215 0.875  ]
100/100: train_loss=[0.32376277 0.3658688 ], train_acc=[0.89515 0.87785]
**** Time taken for mnist_1 = 2598.829444885254
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3262618 1.7341598], train_acc=[0.5478 0.4013]
2/100: train_loss=[0.95709133 1.1887181 ], train_acc=[0.6824 0.5875]
4/100: train_loss=[0.68305796 0.8295263 ], train_acc=[0.77335 0.71735]
6/100: train_loss=[0.61581594 0.72718126], train_acc=[0.7957 0.7536]
8/100: train_loss=[0.5598937  0.67906845], train_acc=[0.81755 0.7738 ]
10/100: train_loss=[0.5195949  0.63579404], train_acc=[0.8304  0.78415]
12/100: train_loss=[0.48358768 0.57036686], train_acc=[0.84165 0.80705]
14/100: train_loss=[0.46435156 0.54489416], train_acc=[0.85065 0.8158 ]
16/100: train_loss=[0.45426127 0.5300515 ], train_acc=[0.85495 0.8233 ]
18/100: train_loss=[0.4369958 0.5104985], train_acc=[0.8602 0.8285]
20/100: train_loss=[0.45270193 0.5019175 ], train_acc=[0.85495 0.8339 ]
22/100: train_loss=[0.42733192 0.47802392], train_acc=[0.86195 0.84105]
24/100: train_loss=[0.41311723 0.494818  ], train_acc=[0.86625 0.83655]
26/100: train_loss=[0.39685804 0.46128413], train_acc=[0.8724 0.8449]
28/100: train_loss=[0.3957504  0.45851025], train_acc=[0.87365 0.8455 ]
30/100: train_loss=[0.39453444 0.44391382], train_acc=[0.8728  0.85135]
32/100: train_loss=[0.37873942 0.44792747], train_acc=[0.87925 0.8529 ]
34/100: train_loss=[0.3690138  0.44165993], train_acc=[0.8823  0.85275]
36/100: train_loss=[0.36538455 0.42519066], train_acc=[0.88255 0.8572 ]
38/100: train_loss=[0.3661822  0.43164164], train_acc=[0.88245 0.85545]
40/100: train_loss=[0.37899894 0.42694417], train_acc=[0.8787 0.8575]
42/100: train_loss=[0.35691997 0.43296468], train_acc=[0.8847 0.856 ]
44/100: train_loss=[0.35688266 0.4095276 ], train_acc=[0.88435 0.86325]
46/100: train_loss=[0.34153405 0.40142214], train_acc=[0.8909 0.8661]
48/100: train_loss=[0.342587   0.40130588], train_acc=[0.89065 0.86645]
50/100: train_loss=[0.34332836 0.3933935 ], train_acc=[0.8884  0.86865]
52/100: train_loss=[0.3345954  0.40950173], train_acc=[0.89205 0.86235]
54/100: train_loss=[0.35928625 0.40515468], train_acc=[0.8842 0.8678]
56/100: train_loss=[0.3305348  0.44914642], train_acc=[0.89485 0.8504 ]
58/100: train_loss=[0.32328865 0.3985313 ], train_acc=[0.8966 0.8652]
60/100: train_loss=[0.3277105 0.3867206], train_acc=[0.89415 0.86985]
62/100: train_loss=[0.31723934 0.39152965], train_acc=[0.89765 0.86925]
64/100: train_loss=[0.32389358 0.37857816], train_acc=[0.89485 0.8753 ]
66/100: train_loss=[0.3213939  0.38413593], train_acc=[0.89555 0.87325]
68/100: train_loss=[0.31744695 0.37411678], train_acc=[0.8988  0.87385]
70/100: train_loss=[0.31173027 0.3911673 ], train_acc=[0.89945 0.87085]
72/100: train_loss=[0.3104273  0.37319443], train_acc=[0.90035 0.8755 ]
74/100: train_loss=[0.30910224 0.3646272 ], train_acc=[0.89875 0.8783 ]
76/100: train_loss=[0.30212873 0.36980438], train_acc=[0.9008 0.8758]
78/100: train_loss=[0.29634246 0.37705177], train_acc=[0.9038 0.8744]
80/100: train_loss=[0.3032508  0.36874852], train_acc=[0.9009  0.87765]
82/100: train_loss=[0.30035937 0.35298863], train_acc=[0.90215 0.8817 ]
84/100: train_loss=[0.29558998 0.34920487], train_acc=[0.9047 0.8831]
86/100: train_loss=[0.29201975 0.36214936], train_acc=[0.9038  0.88195]
88/100: train_loss=[0.29754853 0.34536266], train_acc=[0.90255 0.88665]
90/100: train_loss=[0.2966232 0.3498114], train_acc=[0.9024  0.88275]
92/100: train_loss=[0.29465443 0.3637431 ], train_acc=[0.9045  0.87915]
94/100: train_loss=[0.28705305 0.34803116], train_acc=[0.90595 0.88355]
96/100: train_loss=[0.2908499 0.3562667], train_acc=[0.9062  0.88105]
98/100: train_loss=[0.28371155 0.34696525], train_acc=[0.90795 0.88585]
100/100: train_loss=[0.29100955 0.33942813], train_acc=[0.905   0.88645]
**** Time taken for mnist_2 = 2639.1744968891144
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3647139 1.4930065], train_acc=[0.53445 0.4876 ]
2/100: train_loss=[0.9432292 1.0790734], train_acc=[0.68745 0.63175]
4/100: train_loss=[0.7142274 0.7810672], train_acc=[0.76585 0.73635]
6/100: train_loss=[0.59729093 0.6734247 ], train_acc=[0.80265 0.7758 ]
8/100: train_loss=[0.5788677 0.6285389], train_acc=[0.8108 0.7939]
10/100: train_loss=[0.53068846 0.58891314], train_acc=[0.82635 0.8043 ]
12/100: train_loss=[0.5273162  0.56834465], train_acc=[0.8259  0.80895]
14/100: train_loss=[0.4702065  0.53390944], train_acc=[0.8451 0.8236]
16/100: train_loss=[0.44949517 0.5260508 ], train_acc=[0.8525  0.82215]
18/100: train_loss=[0.4255164 0.5242464], train_acc=[0.8594 0.8283]
20/100: train_loss=[0.41064236 0.47302783], train_acc=[0.8662 0.8451]
22/100: train_loss=[0.40273213 0.4762827 ], train_acc=[0.86915 0.843  ]
24/100: train_loss=[0.39668593 0.480505  ], train_acc=[0.86975 0.83995]
26/100: train_loss=[0.38391683 0.44106305], train_acc=[0.87365 0.8564 ]
28/100: train_loss=[0.38459876 0.44586754], train_acc=[0.875   0.85345]
30/100: train_loss=[0.38020742 0.4357805 ], train_acc=[0.87565 0.8556 ]
32/100: train_loss=[0.37454605 0.44466797], train_acc=[0.8763  0.85225]
34/100: train_loss=[0.36468795 0.41783243], train_acc=[0.88005 0.86265]
36/100: train_loss=[0.35629836 0.4140737 ], train_acc=[0.8832 0.8631]
38/100: train_loss=[0.36006677 0.41284636], train_acc=[0.88075 0.8636 ]
40/100: train_loss=[0.3586427  0.40995774], train_acc=[0.88235 0.8647 ]
42/100: train_loss=[0.34750053 0.4104333 ], train_acc=[0.88615 0.8645 ]
44/100: train_loss=[0.34713563 0.40436748], train_acc=[0.88505 0.8676 ]
46/100: train_loss=[0.3444953  0.40177497], train_acc=[0.88745 0.8663 ]
48/100: train_loss=[0.3417165 0.4077856], train_acc=[0.88705 0.86335]
50/100: train_loss=[0.33968103 0.3965106 ], train_acc=[0.88825 0.86865]
52/100: train_loss=[0.33762196 0.4044952 ], train_acc=[0.88945 0.86525]
54/100: train_loss=[0.3357894  0.38157257], train_acc=[0.8902  0.87345]
56/100: train_loss=[0.32987553 0.39085487], train_acc=[0.89285 0.8706 ]
58/100: train_loss=[0.3299114 0.3869925], train_acc=[0.89175 0.872  ]
60/100: train_loss=[0.3224934  0.37805212], train_acc=[0.89445 0.87315]
62/100: train_loss=[0.32297787 0.377802  ], train_acc=[0.8935 0.8749]
64/100: train_loss=[0.3351694  0.38320002], train_acc=[0.89305 0.87185]
66/100: train_loss=[0.3154912  0.37217504], train_acc=[0.8944 0.8754]
68/100: train_loss=[0.3200898  0.40579852], train_acc=[0.8947  0.86475]
70/100: train_loss=[0.31282714 0.37935254], train_acc=[0.8992 0.874 ]
72/100: train_loss=[0.31618312 0.36982796], train_acc=[0.8961  0.87585]
74/100: train_loss=[0.3141175  0.35960713], train_acc=[0.8974  0.88005]
76/100: train_loss=[0.30758247 0.372627  ], train_acc=[0.9018  0.87755]
78/100: train_loss=[0.3055899  0.36888763], train_acc=[0.90145 0.87935]
80/100: train_loss=[0.33209074 0.36765313], train_acc=[0.8906  0.87805]
82/100: train_loss=[0.29978842 0.36304066], train_acc=[0.90195 0.88055]
84/100: train_loss=[0.30401573 0.36845955], train_acc=[0.9006  0.87705]
86/100: train_loss=[0.30158168 0.3780295 ], train_acc=[0.90165 0.87575]
88/100: train_loss=[0.30164018 0.3672136 ], train_acc=[0.9021 0.8779]
90/100: train_loss=[0.2994666  0.35795492], train_acc=[0.9018  0.88205]
92/100: train_loss=[0.3000185  0.35278675], train_acc=[0.90235 0.88295]
94/100: train_loss=[0.29482418 0.3569392 ], train_acc=[0.9043 0.8806]
96/100: train_loss=[0.30488133 0.34917584], train_acc=[0.8993 0.8848]
98/100: train_loss=[0.28920254 0.3516591 ], train_acc=[0.90615 0.8829 ]
100/100: train_loss=[0.28978908 0.3620342 ], train_acc=[0.90425 0.87995]
**** Time taken for mnist_3 = 2639.1526992321014
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2143836 1.376144 ], train_acc=[0.5964 0.5373]
2/100: train_loss=[0.8302777 0.960175 ], train_acc=[0.7306 0.6754]
4/100: train_loss=[0.6319238  0.74648434], train_acc=[0.7955 0.7536]
6/100: train_loss=[0.55990237 0.6332379 ], train_acc=[0.8163 0.7902]
8/100: train_loss=[0.4847021 0.5840224], train_acc=[0.84115 0.8045 ]
10/100: train_loss=[0.47293103 0.5525914 ], train_acc=[0.84435 0.81855]
12/100: train_loss=[0.4405108 0.5210273], train_acc=[0.85695 0.82615]
14/100: train_loss=[0.42351422 0.5048531 ], train_acc=[0.8616 0.8328]
16/100: train_loss=[0.44073448 0.5246063 ], train_acc=[0.85635 0.82665]
18/100: train_loss=[0.39517143 0.47727334], train_acc=[0.87225 0.8412 ]
20/100: train_loss=[0.3833851  0.45301569], train_acc=[0.87755 0.84995]
22/100: train_loss=[0.38351673 0.4609532 ], train_acc=[0.87675 0.84725]
24/100: train_loss=[0.37921545 0.44897577], train_acc=[0.8784  0.85305]
26/100: train_loss=[0.39548856 0.45149508], train_acc=[0.8707  0.85195]
28/100: train_loss=[0.35970306 0.44467115], train_acc=[0.88315 0.855  ]
30/100: train_loss=[0.369129   0.45154455], train_acc=[0.87885 0.8515 ]
32/100: train_loss=[0.35453588 0.4163594 ], train_acc=[0.88475 0.86455]
34/100: train_loss=[0.35151485 0.45718944], train_acc=[0.88465 0.8514 ]
36/100: train_loss=[0.33909792 0.4126076 ], train_acc=[0.8898 0.8659]
38/100: train_loss=[0.34251148 0.4038341 ], train_acc=[0.889   0.86825]
40/100: train_loss=[0.37901717 0.429523  ], train_acc=[0.8734 0.8572]
42/100: train_loss=[0.33137992 0.40388396], train_acc=[0.8907  0.86815]
44/100: train_loss=[0.32338992 0.4151973 ], train_acc=[0.89195 0.86335]
46/100: train_loss=[0.3454421  0.40497434], train_acc=[0.88365 0.86905]
48/100: train_loss=[0.33612034 0.40505195], train_acc=[0.8895  0.86725]
50/100: train_loss=[0.31703463 0.42208505], train_acc=[0.8952 0.8634]
52/100: train_loss=[0.3187245  0.42797214], train_acc=[0.8946 0.8605]
54/100: train_loss=[0.31865567 0.38664737], train_acc=[0.89555 0.8754 ]
56/100: train_loss=[0.3298985 0.385669 ], train_acc=[0.889   0.87295]
58/100: train_loss=[0.31128654 0.38149974], train_acc=[0.89605 0.87565]
60/100: train_loss=[0.30772343 0.37995327], train_acc=[0.8973  0.87775]
62/100: train_loss=[0.31702265 0.37772384], train_acc=[0.893  0.8766]
64/100: train_loss=[0.30939636 0.38172123], train_acc=[0.8963 0.8751]
66/100: train_loss=[0.3026789 0.3776405], train_acc=[0.89915 0.87775]
68/100: train_loss=[0.30434    0.37797672], train_acc=[0.9006 0.8769]
70/100: train_loss=[0.30978727 0.42761797], train_acc=[0.89525 0.8628 ]
72/100: train_loss=[0.30314246 0.3744039 ], train_acc=[0.90005 0.8771 ]
74/100: train_loss=[0.30023372 0.37223077], train_acc=[0.89915 0.87885]
76/100: train_loss=[0.30890554 0.3781263 ], train_acc=[0.8988  0.87635]
78/100: train_loss=[0.30326188 0.38848284], train_acc=[0.8979 0.875 ]
80/100: train_loss=[0.29059887 0.36682546], train_acc=[0.9027  0.88175]
82/100: train_loss=[0.30296323 0.3836336 ], train_acc=[0.8973  0.87425]
84/100: train_loss=[0.29241505 0.36760765], train_acc=[0.90165 0.87795]
86/100: train_loss=[0.29574415 0.35798314], train_acc=[0.90055 0.88215]
88/100: train_loss=[0.29945195 0.36853394], train_acc=[0.8997  0.87925]
90/100: train_loss=[0.2849717  0.36030108], train_acc=[0.90365 0.88185]
92/100: train_loss=[0.30057913 0.36316434], train_acc=[0.9002  0.87885]
94/100: train_loss=[0.29095706 0.36505762], train_acc=[0.9015 0.8796]
96/100: train_loss=[0.2977056  0.37344944], train_acc=[0.90115 0.87875]
98/100: train_loss=[0.2874978 0.3609239], train_acc=[0.9032  0.87985]
100/100: train_loss=[0.29333976 0.3733128 ], train_acc=[0.90245 0.87745]
**** Time taken for mnist_4 = 2664.8516097068787
**** Time taken for mnist = 13154.95042347908
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.4585776 1.4021511], train_acc=[0.45275 0.483  ]
2/100: train_loss=[1.1675485 1.189023 ], train_acc=[0.5656 0.5745]
4/100: train_loss=[0.97028226 1.0395274 ], train_acc=[0.6338 0.6091]
6/100: train_loss=[0.8955623  0.91270894], train_acc=[0.6629  0.66415]
8/100: train_loss=[0.8511846  0.86141557], train_acc=[0.68465 0.6785 ]
10/100: train_loss=[0.80836976 0.80638725], train_acc=[0.6969 0.7008]
12/100: train_loss=[0.7896721  0.79074246], train_acc=[0.7093 0.7068]
14/100: train_loss=[0.7622606  0.76892227], train_acc=[0.71755 0.7172 ]
16/100: train_loss=[0.7519657  0.76986694], train_acc=[0.72135 0.71   ]
18/100: train_loss=[0.7357373  0.73650455], train_acc=[0.72605 0.7272 ]
20/100: train_loss=[0.71876496 0.7215661 ], train_acc=[0.73385 0.73405]
22/100: train_loss=[0.743382   0.72377235], train_acc=[0.7191 0.7317]
24/100: train_loss=[0.7309286  0.77737397], train_acc=[0.7299 0.7193]
26/100: train_loss=[0.70954794 0.6933914 ], train_acc=[0.74105 0.7461 ]
28/100: train_loss=[0.69680357 0.6831245 ], train_acc=[0.7433 0.749 ]
30/100: train_loss=[0.7010368 0.679116 ], train_acc=[0.7414  0.74995]
32/100: train_loss=[0.68327814 0.6794631 ], train_acc=[0.74915 0.75165]
34/100: train_loss=[0.6834061  0.69684875], train_acc=[0.744  0.7379]
36/100: train_loss=[0.67747027 0.65383613], train_acc=[0.7499  0.76035]
38/100: train_loss=[0.6765296  0.65733105], train_acc=[0.7521  0.76105]
40/100: train_loss=[0.6551244  0.68015593], train_acc=[0.7598 0.7468]
42/100: train_loss=[0.6611156 0.6589623], train_acc=[0.7553 0.7543]
44/100: train_loss=[0.65268755 0.6467042 ], train_acc=[0.7618  0.76545]
46/100: train_loss=[0.6560099 0.6491666], train_acc=[0.75795 0.7599 ]
48/100: train_loss=[0.64336205 0.62592953], train_acc=[0.7656  0.77065]
50/100: train_loss=[0.62676847 0.6508639 ], train_acc=[0.76905 0.75825]
52/100: train_loss=[0.62303686 0.621744  ], train_acc=[0.7739 0.7718]
54/100: train_loss=[0.64365304 0.6342829 ], train_acc=[0.7626  0.76855]
56/100: train_loss=[0.6165522 0.620116 ], train_acc=[0.772   0.77265]
58/100: train_loss=[0.62549186 0.6226077 ], train_acc=[0.7672 0.7723]
60/100: train_loss=[0.61365086 0.6192873 ], train_acc=[0.773   0.77715]
62/100: train_loss=[0.62543094 0.6131455 ], train_acc=[0.76745 0.7713 ]
64/100: train_loss=[0.6120803  0.60589844], train_acc=[0.7721 0.7777]
66/100: train_loss=[0.6069675 0.6083612], train_acc=[0.77505 0.77385]
68/100: train_loss=[0.61055195 0.60526   ], train_acc=[0.7763 0.7839]
70/100: train_loss=[0.6049565 0.6037882], train_acc=[0.7781  0.77805]
72/100: train_loss=[0.6092229 0.6149998], train_acc=[0.77545 0.76675]
74/100: train_loss=[0.5952755  0.60323924], train_acc=[0.7821 0.7812]
76/100: train_loss=[0.5940903 0.6029165], train_acc=[0.7834  0.77755]
78/100: train_loss=[0.59943235 0.5897218 ], train_acc=[0.7773  0.78335]
80/100: train_loss=[0.58173037 0.6043632 ], train_acc=[0.78505 0.77715]
82/100: train_loss=[0.59445983 0.6016075 ], train_acc=[0.77985 0.78105]
84/100: train_loss=[0.60256904 0.58658695], train_acc=[0.7786 0.7841]
86/100: train_loss=[0.5831325 0.5977213], train_acc=[0.7852 0.7825]
88/100: train_loss=[0.5954053  0.58523095], train_acc=[0.77925 0.7828 ]
90/100: train_loss=[0.57861626 0.5811409 ], train_acc=[0.78545 0.7879 ]
92/100: train_loss=[0.58608645 0.58187604], train_acc=[0.78375 0.7855 ]
94/100: train_loss=[0.57557374 0.57740176], train_acc=[0.7866 0.7904]
96/100: train_loss=[0.5779991  0.57906973], train_acc=[0.78745 0.7891 ]
98/100: train_loss=[0.5822164  0.58667564], train_acc=[0.7863  0.78515]
100/100: train_loss=[0.5737469  0.57860684], train_acc=[0.78805 0.78855]
**** Time taken for fashion_0 = 2705.950398683548
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2946625 1.4297293], train_acc=[0.53   0.4813]
2/100: train_loss=[1.0669521 1.1358461], train_acc=[0.6069  0.58255]
4/100: train_loss=[0.94095886 0.9437749 ], train_acc=[0.65105 0.6617 ]
6/100: train_loss=[0.8401489  0.88031954], train_acc=[0.69365 0.67675]
8/100: train_loss=[0.78036207 0.81560653], train_acc=[0.7111  0.69915]
10/100: train_loss=[0.75040185 0.79107684], train_acc=[0.7195 0.7104]
12/100: train_loss=[0.73547995 0.76379377], train_acc=[0.72715 0.71505]
14/100: train_loss=[0.71900034 0.7450032 ], train_acc=[0.7325 0.7249]
16/100: train_loss=[0.7151592 0.7249191], train_acc=[0.73285 0.73235]
18/100: train_loss=[0.6922073  0.71169406], train_acc=[0.74445 0.7401 ]
20/100: train_loss=[0.67865115 0.6982569 ], train_acc=[0.75105 0.74205]
22/100: train_loss=[0.67102337 0.7001763 ], train_acc=[0.75175 0.74155]
24/100: train_loss=[0.6702432 0.7059256], train_acc=[0.75245 0.73645]
26/100: train_loss=[0.6588474  0.67901224], train_acc=[0.75805 0.7479 ]
28/100: train_loss=[0.64556015 0.66634136], train_acc=[0.7605  0.75145]
30/100: train_loss=[0.6383181  0.66495305], train_acc=[0.76535 0.75825]
32/100: train_loss=[0.64043754 0.66940355], train_acc=[0.7647 0.7546]
34/100: train_loss=[0.6257884 0.6554754], train_acc=[0.76915 0.758  ]
36/100: train_loss=[0.63982487 0.66409576], train_acc=[0.7632  0.75355]
38/100: train_loss=[0.61322516 0.653817  ], train_acc=[0.7758  0.75745]
40/100: train_loss=[0.6079974  0.64793926], train_acc=[0.77735 0.758  ]
42/100: train_loss=[0.6117716 0.6392257], train_acc=[0.7761 0.7611]
44/100: train_loss=[0.61862814 0.64423543], train_acc=[0.77435 0.7634 ]
46/100: train_loss=[0.6110959 0.6442452], train_acc=[0.77535 0.76605]
48/100: train_loss=[0.60117    0.62643313], train_acc=[0.77965 0.76665]
50/100: train_loss=[0.59821874 0.627539  ], train_acc=[0.78095 0.7717 ]
52/100: train_loss=[0.5886782 0.6175312], train_acc=[0.7836 0.7726]
54/100: train_loss=[0.6031883 0.622326 ], train_acc=[0.77395 0.7735 ]
56/100: train_loss=[0.5853647 0.6208177], train_acc=[0.78565 0.773  ]
58/100: train_loss=[0.5997756 0.6306069], train_acc=[0.77875 0.7681 ]
60/100: train_loss=[0.587064  0.6110889], train_acc=[0.785   0.77775]
62/100: train_loss=[0.5832616 0.6215378], train_acc=[0.7882  0.77525]
64/100: train_loss=[0.5889857  0.62547195], train_acc=[0.78235 0.7705 ]
66/100: train_loss=[0.5944521 0.6246984], train_acc=[0.7847  0.77125]
