Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0339385 1.1985588], train_acc=[0.65775 0.5929 ]
98/100: train_loss=[0.2896241  0.36735895], train_acc=[0.9052 0.8756]
100/100: train_loss=[0.28833055 0.36590308], train_acc=[0.90565 0.8798 ]
**** Time taken for mnist_1 = 2929.3107104301453
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[0.9938265 1.2757181], train_acc=[0.67025 0.57415]
2/100: train_loss=[0.7800227 0.9420544], train_acc=[0.7452 0.6851]
4/100: train_loss=[0.62070656 0.71414226], train_acc=[0.7975 0.7619]
6/100: train_loss=[0.56748456 0.6275827 ], train_acc=[0.81485 0.78975]
8/100: train_loss=[0.51851034 0.57754016], train_acc=[0.83195 0.8085 ]
10/100: train_loss=[0.4934609 0.5414138], train_acc=[0.839   0.82275]
12/100: train_loss=[0.48255983 0.5561907 ], train_acc=[0.8421  0.81135]
14/100: train_loss=[0.45284605 0.5020479 ], train_acc=[0.854   0.83215]
16/100: train_loss=[0.4324368 0.4935537], train_acc=[0.8586 0.834 ]
18/100: train_loss=[0.40130198 0.48448715], train_acc=[0.8703 0.8413]
20/100: train_loss=[0.39947385 0.47813258], train_acc=[0.8679  0.84205]
22/100: train_loss=[0.39118308 0.4593122 ], train_acc=[0.8751 0.8475]
24/100: train_loss=[0.39648396 0.47048008], train_acc=[0.87275 0.84465]
26/100: train_loss=[0.37060025 0.44387892], train_acc=[0.8774  0.85335]
28/100: train_loss=[0.3699185  0.46201283], train_acc=[0.8799 0.8463]
30/100: train_loss=[0.35901618 0.4376427 ], train_acc=[0.8838  0.85535]
32/100: train_loss=[0.3784879  0.44924816], train_acc=[0.8778  0.84945]
34/100: train_loss=[0.34348142 0.42116672], train_acc=[0.88925 0.85865]
36/100: train_loss=[0.35795832 0.45170343], train_acc=[0.88245 0.84865]
38/100: train_loss=[0.34033296 0.4109782 ], train_acc=[0.88755 0.86275]
40/100: train_loss=[0.3385946  0.40516192], train_acc=[0.8878 0.8646]
42/100: train_loss=[0.33366558 0.40630472], train_acc=[0.8903 0.8645]
44/100: train_loss=[0.33817634 0.39669177], train_acc=[0.8882 0.868 ]
46/100: train_loss=[0.3421218  0.40636918], train_acc=[0.8876  0.86715]
48/100: train_loss=[0.32597676 0.39400405], train_acc=[0.8929  0.86845]
50/100: train_loss=[0.32887053 0.4137215 ], train_acc=[0.89235 0.8629 ]
52/100: train_loss=[0.31981364 0.39511904], train_acc=[0.8946 0.8681]
54/100: train_loss=[0.32185295 0.38457447], train_acc=[0.8952 0.8718]
56/100: train_loss=[0.31831917 0.39676675], train_acc=[0.8963  0.86855]
58/100: train_loss=[0.32812193 0.41110656], train_acc=[0.89255 0.86275]
60/100: train_loss=[0.32147446 0.38294438], train_acc=[0.8952 0.873 ]
62/100: train_loss=[0.30615535 0.37462094], train_acc=[0.9002  0.87485]
64/100: train_loss=[0.3318406  0.39091343], train_acc=[0.8909 0.8724]
66/100: train_loss=[0.35787854 0.44214612], train_acc=[0.8845  0.85375]
68/100: train_loss=[0.3024606  0.37544763], train_acc=[0.90175 0.8766 ]
70/100: train_loss=[0.32308736 0.37793866], train_acc=[0.894   0.87605]
72/100: train_loss=[0.30389145 0.36111015], train_acc=[0.9016 0.8818]
74/100: train_loss=[0.3032403  0.40138438], train_acc=[0.9006 0.8672]
76/100: train_loss=[0.29402018 0.36199504], train_acc=[0.9055 0.8811]
78/100: train_loss=[0.31585497 0.43324652], train_acc=[0.89705 0.8586 ]
80/100: train_loss=[0.30050504 0.35797337], train_acc=[0.9034  0.88215]
82/100: train_loss=[0.2973448  0.37419003], train_acc=[0.90375 0.8781 ]
84/100: train_loss=[0.32346508 0.37123346], train_acc=[0.8953  0.87675]
86/100: train_loss=[0.2962835 0.3534842], train_acc=[0.9045 0.8833]
88/100: train_loss=[0.31506702 0.35953456], train_acc=[0.89775 0.8806 ]
90/100: train_loss=[0.3291106  0.36031014], train_acc=[0.89485 0.88035]
92/100: train_loss=[0.31247398 0.35056305], train_acc=[0.8967 0.8842]
94/100: train_loss=[0.29213184 0.36568543], train_acc=[0.9064  0.87965]
96/100: train_loss=[0.34834248 0.3602183 ], train_acc=[0.8913  0.88175]
98/100: train_loss=[0.30032122 0.36130866], train_acc=[0.90385 0.87935]
100/100: train_loss=[0.2902405 0.3527884], train_acc=[0.9065 0.8856]
**** Time taken for mnist_2 = 2574.0498507022858
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0868636 1.4991158], train_acc=[0.6423  0.49325]
2/100: train_loss=[0.8403498 1.1120374], train_acc=[0.72495 0.6298 ]
4/100: train_loss=[0.66410786 0.88522846], train_acc=[0.78135 0.70295]
6/100: train_loss=[0.58101773 0.7586889 ], train_acc=[0.80845 0.74455]
8/100: train_loss=[0.52733976 0.66238403], train_acc=[0.8262  0.77945]
10/100: train_loss=[0.4894099 0.6218679], train_acc=[0.8386  0.79055]
12/100: train_loss=[0.46401075 0.58698976], train_acc=[0.8496 0.8038]
14/100: train_loss=[0.44336325 0.58178663], train_acc=[0.8548  0.80535]
16/100: train_loss=[0.43672866 0.54951245], train_acc=[0.8575  0.81555]
18/100: train_loss=[0.4186918 0.5286165], train_acc=[0.86205 0.82445]
20/100: train_loss=[0.40965027 0.5314895 ], train_acc=[0.86735 0.82475]
22/100: train_loss=[0.4039021  0.51076424], train_acc=[0.86655 0.82845]
24/100: train_loss=[0.41154245 0.4891716 ], train_acc=[0.8647 0.8358]
26/100: train_loss=[0.3826528  0.48436558], train_acc=[0.87475 0.83905]
28/100: train_loss=[0.37849662 0.48226583], train_acc=[0.87735 0.8379 ]
30/100: train_loss=[0.3733051  0.47180766], train_acc=[0.8781 0.8448]
32/100: train_loss=[0.3929344  0.48500434], train_acc=[0.8728  0.83955]
34/100: train_loss=[0.39497086 0.45964998], train_acc=[0.8689  0.84835]
36/100: train_loss=[0.37202892 0.46333927], train_acc=[0.877   0.84855]
38/100: train_loss=[0.35385275 0.44863266], train_acc=[0.88315 0.85095]
40/100: train_loss=[0.35875532 0.4394133 ], train_acc=[0.8847  0.85595]
42/100: train_loss=[0.38674176 0.45519233], train_acc=[0.87305 0.8513 ]
44/100: train_loss=[0.34253407 0.42982635], train_acc=[0.88735 0.86035]
46/100: train_loss=[0.33937368 0.424419  ], train_acc=[0.88805 0.86285]
48/100: train_loss=[0.34992167 0.427697  ], train_acc=[0.8858  0.86095]
50/100: train_loss=[0.34522003 0.43520874], train_acc=[0.8862 0.8574]
52/100: train_loss=[0.33864167 0.42163926], train_acc=[0.8887 0.8634]
54/100: train_loss=[0.32547045 0.40577158], train_acc=[0.89375 0.8665 ]
56/100: train_loss=[0.32560575 0.40605536], train_acc=[0.89465 0.86775]
58/100: train_loss=[0.32420167 0.40882123], train_acc=[0.89475 0.86585]
60/100: train_loss=[0.31926483 0.4032615 ], train_acc=[0.89445 0.86795]
62/100: train_loss=[0.3159705  0.40709913], train_acc=[0.8958 0.8681]
64/100: train_loss=[0.3176921 0.3972947], train_acc=[0.8961 0.8701]
66/100: train_loss=[0.31880167 0.40059957], train_acc=[0.8958  0.87165]
68/100: train_loss=[0.32053965 0.39408815], train_acc=[0.89495 0.87075]
70/100: train_loss=[0.31522    0.39241993], train_acc=[0.89665 0.87205]
72/100: train_loss=[0.3065806 0.3849238], train_acc=[0.89945 0.8734 ]
74/100: train_loss=[0.30987477 0.40063274], train_acc=[0.89815 0.8696 ]
76/100: train_loss=[0.30849043 0.38396218], train_acc=[0.89825 0.8758 ]
78/100: train_loss=[0.3063943 0.387569 ], train_acc=[0.9003 0.8742]
80/100: train_loss=[0.30189228 0.38457322], train_acc=[0.89995 0.87605]
82/100: train_loss=[0.320333  0.4104215], train_acc=[0.89435 0.86575]
84/100: train_loss=[0.30455568 0.3908524 ], train_acc=[0.90085 0.8739 ]
86/100: train_loss=[0.29888922 0.37533453], train_acc=[0.902  0.8765]
88/100: train_loss=[0.30196372 0.38406765], train_acc=[0.90055 0.87495]
90/100: train_loss=[0.2938045  0.37667057], train_acc=[0.9044 0.8776]
92/100: train_loss=[0.30128464 0.38376686], train_acc=[0.90105 0.87455]
94/100: train_loss=[0.29481643 0.36536202], train_acc=[0.90295 0.8831 ]
96/100: train_loss=[0.2937589  0.36815023], train_acc=[0.9048  0.88065]
98/100: train_loss=[0.3074965 0.3867766], train_acc=[0.89825 0.87315]
100/100: train_loss=[0.2866793  0.36321545], train_acc=[0.9062  0.88245]
**** Time taken for mnist_3 = 2469.722951889038
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[0.9611674 1.1525238], train_acc=[0.68745 0.61695]
2/100: train_loss=[0.7257235 0.8619358], train_acc=[0.7631  0.71325]
4/100: train_loss=[0.57330424 0.71530694], train_acc=[0.81615 0.7636 ]
6/100: train_loss=[0.5244571 0.657139 ], train_acc=[0.83005 0.77895]
8/100: train_loss=[0.49152133 0.6055035 ], train_acc=[0.8414 0.8011]
10/100: train_loss=[0.44250828 0.5675527 ], train_acc=[0.8568  0.81135]
12/100: train_loss=[0.42498848 0.5484177 ], train_acc=[0.86235 0.8176 ]
14/100: train_loss=[0.43790185 0.5547545 ], train_acc=[0.8592 0.8176]
16/100: train_loss=[0.4084517  0.50876784], train_acc=[0.86915 0.8328 ]
18/100: train_loss=[0.4107619 0.511578 ], train_acc=[0.869   0.83305]
20/100: train_loss=[0.3921266  0.49447352], train_acc=[0.8733  0.83735]
22/100: train_loss=[0.39681375 0.48285332], train_acc=[0.87325 0.84175]
24/100: train_loss=[0.36533448 0.46621093], train_acc=[0.881  0.8475]
26/100: train_loss=[0.3576291 0.46364  ], train_acc=[0.8827 0.8482]
28/100: train_loss=[0.3682    0.4477488], train_acc=[0.87815 0.85185]
30/100: train_loss=[0.35223934 0.43880194], train_acc=[0.88495 0.8576 ]
32/100: train_loss=[0.34713516 0.42985737], train_acc=[0.8865  0.85855]
34/100: train_loss=[0.34404093 0.44002384], train_acc=[0.8886 0.855 ]
36/100: train_loss=[0.34778887 0.44031233], train_acc=[0.8873 0.8538]
38/100: train_loss=[0.33866835 0.42655665], train_acc=[0.8892 0.8578]
40/100: train_loss=[0.3289134  0.41773224], train_acc=[0.89335 0.8616 ]
42/100: train_loss=[0.33985    0.40519363], train_acc=[0.88865 0.86445]
44/100: train_loss=[0.32530466 0.39722046], train_acc=[0.8927  0.86935]
46/100: train_loss=[0.3295127  0.39756152], train_acc=[0.8908 0.8677]
48/100: train_loss=[0.33063364 0.39713433], train_acc=[0.89005 0.86675]
50/100: train_loss=[0.34740055 0.41653115], train_acc=[0.8855  0.86135]
52/100: train_loss=[0.3151919  0.38935792], train_acc=[0.89725 0.8696 ]
54/100: train_loss=[0.33100298 0.39723253], train_acc=[0.89225 0.86685]
56/100: train_loss=[0.33016452 0.38929975], train_acc=[0.89075 0.8697 ]
58/100: train_loss=[0.3139587  0.37092215], train_acc=[0.89695 0.8768 ]
60/100: train_loss=[0.31240228 0.4058774 ], train_acc=[0.8986 0.8672]
62/100: train_loss=[0.31775185 0.38220686], train_acc=[0.89485 0.87055]
64/100: train_loss=[0.3099712 0.3697988], train_acc=[0.89725 0.87625]
66/100: train_loss=[0.30943552 0.36486053], train_acc=[0.89915 0.879  ]
68/100: train_loss=[0.30775607 0.36754668], train_acc=[0.8978  0.87725]
70/100: train_loss=[0.30892774 0.35909453], train_acc=[0.8981  0.88105]
72/100: train_loss=[0.29493368 0.3574333 ], train_acc=[0.9031  0.88005]
74/100: train_loss=[0.31023988 0.36943674], train_acc=[0.89655 0.8767 ]
76/100: train_loss=[0.30201888 0.3572788 ], train_acc=[0.90095 0.88175]
78/100: train_loss=[0.29321057 0.35454202], train_acc=[0.9038 0.8822]
80/100: train_loss=[0.30279374 0.35933593], train_acc=[0.9001 0.8796]
82/100: train_loss=[0.29606605 0.36204222], train_acc=[0.90395 0.8805 ]
84/100: train_loss=[0.30255583 0.3567368 ], train_acc=[0.901   0.88105]
86/100: train_loss=[0.28847942 0.34561986], train_acc=[0.9042  0.88325]
88/100: train_loss=[0.30041346 0.361929  ], train_acc=[0.8996 0.8789]
90/100: train_loss=[0.28851387 0.34004173], train_acc=[0.90485 0.88735]
92/100: train_loss=[0.29167017 0.3434044 ], train_acc=[0.90445 0.8857 ]
94/100: train_loss=[0.29768738 0.34136394], train_acc=[0.901  0.8863]
96/100: train_loss=[0.28268299 0.34242043], train_acc=[0.9068 0.885 ]
98/100: train_loss=[0.29160205 0.34734586], train_acc=[0.90335 0.886  ]
100/100: train_loss=[0.29225996 0.33330575], train_acc=[0.9022  0.88865]
**** Time taken for mnist_4 = 2363.979596853256
**** Time taken for mnist = 14371.63483285904
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1183136 1.152781 ], train_acc=[0.5924 0.5871]
2/100: train_loss=[0.94527334 0.9591785 ], train_acc=[0.64915 0.65785]
4/100: train_loss=[0.8603877 0.84179  ], train_acc=[0.67825 0.69295]
6/100: train_loss=[0.7873604 0.757136 ], train_acc=[0.71025 0.72225]
8/100: train_loss=[0.74091893 0.7289109 ], train_acc=[0.7243 0.7318]
10/100: train_loss=[0.71709204 0.6978822 ], train_acc=[0.7321 0.7441]
12/100: train_loss=[0.6941497  0.68138707], train_acc=[0.7423  0.74995]
14/100: train_loss=[0.6679191  0.66682404], train_acc=[0.74915 0.75225]
16/100: train_loss=[0.67418075 0.6580851 ], train_acc=[0.74465 0.75805]
18/100: train_loss=[0.63929695 0.63615084], train_acc=[0.76075 0.7654 ]
20/100: train_loss=[0.63785356 0.6509345 ], train_acc=[0.761  0.7625]
22/100: train_loss=[0.6280698 0.6348265], train_acc=[0.76705 0.76565]
24/100: train_loss=[0.630177   0.62486947], train_acc=[0.76495 0.7718 ]
26/100: train_loss=[0.61786115 0.6140894 ], train_acc=[0.7727 0.775 ]
28/100: train_loss=[0.59843135 0.60331506], train_acc=[0.77785 0.7812 ]
30/100: train_loss=[0.5929131 0.6088056], train_acc=[0.7837  0.77885]
32/100: train_loss=[0.58661187 0.5881599 ], train_acc=[0.7843 0.7866]
34/100: train_loss=[0.61962265 0.5972103 ], train_acc=[0.76965 0.7821 ]
36/100: train_loss=[0.5874188 0.5879436], train_acc=[0.7827  0.78595]
38/100: train_loss=[0.58207196 0.57927996], train_acc=[0.78375 0.7906 ]
40/100: train_loss=[0.57776034 0.57093686], train_acc=[0.786  0.7928]
42/100: train_loss=[0.58136576 0.576992  ], train_acc=[0.7882 0.7898]
44/100: train_loss=[0.57371503 0.56598485], train_acc=[0.7879 0.7944]
46/100: train_loss=[0.5679506 0.5629712], train_acc=[0.79075 0.7949 ]
48/100: train_loss=[0.562096   0.55692726], train_acc=[0.79085 0.79915]
50/100: train_loss=[0.5551081 0.5662574], train_acc=[0.7956  0.79165]
52/100: train_loss=[0.5698791  0.56012625], train_acc=[0.7841 0.7932]
54/100: train_loss=[0.5615309 0.5517639], train_acc=[0.79115 0.799  ]
56/100: train_loss=[0.5537138 0.5576897], train_acc=[0.7929  0.79685]
58/100: train_loss=[0.5512715 0.5549725], train_acc=[0.79815 0.79735]
60/100: train_loss=[0.5507616 0.5602536], train_acc=[0.7989  0.79915]
62/100: train_loss=[0.54184514 0.55335736], train_acc=[0.79925 0.7988 ]
64/100: train_loss=[0.56337756 0.5503545 ], train_acc=[0.79595 0.7996 ]
66/100: train_loss=[0.5439641 0.5485249], train_acc=[0.80065 0.80195]
68/100: train_loss=[0.54471684 0.5413538 ], train_acc=[0.7995 0.8044]
70/100: train_loss=[0.54570585 0.54881   ], train_acc=[0.7978  0.79965]
72/100: train_loss=[0.54042655 0.54357344], train_acc=[0.80025 0.8044 ]
74/100: train_loss=[0.53347486 0.5443843 ], train_acc=[0.8018 0.8043]
76/100: train_loss=[0.53532356 0.5464609 ], train_acc=[0.8003  0.80165]
78/100: train_loss=[0.5427845  0.55001837], train_acc=[0.7997  0.80015]
80/100: train_loss=[0.5392562  0.54245055], train_acc=[0.7997 0.8052]
82/100: train_loss=[0.54076356 0.5420153 ], train_acc=[0.80205 0.8057 ]
84/100: train_loss=[0.54121923 0.55034274], train_acc=[0.7995  0.80035]
86/100: train_loss=[0.53664774 0.5402987 ], train_acc=[0.8009  0.80545]
88/100: train_loss=[0.5333084 0.5366877], train_acc=[0.8052  0.80485]
90/100: train_loss=[0.5389276 0.5389204], train_acc=[0.8026  0.80875]
92/100: train_loss=[0.53423506 0.54831433], train_acc=[0.802  0.7983]
94/100: train_loss=[0.531336  0.5379544], train_acc=[0.80445 0.80315]
96/100: train_loss=[0.5334433  0.53805614], train_acc=[0.80265 0.8067 ]
98/100: train_loss=[0.53180027 0.54188794], train_acc=[0.8044  0.80565]
100/100: train_loss=[0.5363379 0.5336655], train_acc=[0.8061  0.80645]
**** Time taken for fashion_0 = 2366.4652264118195
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2347322 1.1987714], train_acc=[0.5544 0.5555]
2/100: train_loss=[0.9896296 1.0319988], train_acc=[0.6301 0.6145]
4/100: train_loss=[0.8389243  0.85556227], train_acc=[0.6857  0.68365]
6/100: train_loss=[0.78453374 0.79606867], train_acc=[0.707  0.7077]
8/100: train_loss=[0.724915  0.7664379], train_acc=[0.7295 0.7193]
10/100: train_loss=[0.72556365 0.7327751 ], train_acc=[0.72355 0.7293 ]
12/100: train_loss=[0.680779  0.6945207], train_acc=[0.74855 0.74425]
14/100: train_loss=[0.668616   0.68458885], train_acc=[0.74995 0.7483 ]
16/100: train_loss=[0.65350455 0.67486775], train_acc=[0.75795 0.7496 ]
18/100: train_loss=[0.62284756 0.652243  ], train_acc=[0.7671 0.7598]
20/100: train_loss=[0.6162142 0.6438515], train_acc=[0.7733  0.76365]
22/100: train_loss=[0.6124379  0.63671803], train_acc=[0.7757  0.76325]
24/100: train_loss=[0.59664446 0.6295316 ], train_acc=[0.77805 0.76805]
26/100: train_loss=[0.598763   0.63746333], train_acc=[0.78115 0.76215]
28/100: train_loss=[0.7707143 0.7198173], train_acc=[0.70315 0.7342 ]
30/100: train_loss=[0.5932932 0.6145912], train_acc=[0.78235 0.77565]
32/100: train_loss=[0.5878573 0.6310141], train_acc=[0.7816 0.7623]
34/100: train_loss=[0.6215386 0.6352676], train_acc=[0.76535 0.76745]
36/100: train_loss=[0.567101   0.60614264], train_acc=[0.7911  0.77565]
38/100: train_loss=[0.5641674 0.5957234], train_acc=[0.79235 0.78125]
40/100: train_loss=[0.562916  0.6103089], train_acc=[0.79255 0.77605]
42/100: train_loss=[0.55529565 0.5948894 ], train_acc=[0.79545 0.779  ]
44/100: train_loss=[0.5616643 0.594811 ], train_acc=[0.7931 0.7819]
46/100: train_loss=[0.56113976 0.59838545], train_acc=[0.7935  0.78195]
48/100: train_loss=[0.55830765 0.5885644 ], train_acc=[0.79365 0.7876 ]
50/100: train_loss=[0.54398215 0.5771212 ], train_acc=[0.7989 0.7861]
52/100: train_loss=[0.5527015 0.578239 ], train_acc=[0.7971  0.78555]
54/100: train_loss=[0.5403568 0.5839921], train_acc=[0.8031  0.78065]
56/100: train_loss=[0.5494702 0.5813229], train_acc=[0.7991 0.7855]
58/100: train_loss=[0.5427688  0.57977045], train_acc=[0.8021  0.78655]
60/100: train_loss=[0.5358469 0.5707903], train_acc=[0.8024  0.79455]
62/100: train_loss=[0.5361442 0.5866083], train_acc=[0.80315 0.78375]
