Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3377677 1.5641606], train_acc=[0.5543 0.4623]
34/100: train_loss=[0.37472612 0.43099287], train_acc=[0.8754 0.8554]
36/100: train_loss=[0.350865   0.40585887], train_acc=[0.88305 0.8635 ]
38/100: train_loss=[0.3459254  0.42423007], train_acc=[0.8847 0.8589]
40/100: train_loss=[0.36462834 0.4062889 ], train_acc=[0.8792 0.8625]
42/100: train_loss=[0.35234052 0.40789497], train_acc=[0.8843  0.86235]
44/100: train_loss=[0.33983418 0.40338096], train_acc=[0.8873 0.8663]
46/100: train_loss=[0.32308042 0.39935252], train_acc=[0.895   0.86435]
48/100: train_loss=[0.33416182 0.40818137], train_acc=[0.88965 0.8628 ]
50/100: train_loss=[0.32610515 0.37915465], train_acc=[0.8934  0.87115]
52/100: train_loss=[0.31815323 0.37469062], train_acc=[0.89505 0.87305]
54/100: train_loss=[0.32657012 0.38461512], train_acc=[0.89255 0.87195]
56/100: train_loss=[0.31541264 0.36119083], train_acc=[0.8965  0.87835]
58/100: train_loss=[0.32433566 0.3708384 ], train_acc=[0.8942 0.8761]
60/100: train_loss=[0.30689698 0.38745213], train_acc=[0.89915 0.8717 ]
62/100: train_loss=[0.33397195 0.37856025], train_acc=[0.89075 0.8725 ]
64/100: train_loss=[0.3251374 0.3738692], train_acc=[0.8928 0.8754]
66/100: train_loss=[0.36296648 0.38832223], train_acc=[0.88225 0.86975]
68/100: train_loss=[0.3159219  0.35435498], train_acc=[0.8958  0.88125]
70/100: train_loss=[0.33941072 0.3646087 ], train_acc=[0.88795 0.8775 ]
72/100: train_loss=[0.3304405  0.35187823], train_acc=[0.8923 0.8806]
74/100: train_loss=[0.3148183  0.35909048], train_acc=[0.89715 0.8789 ]
76/100: train_loss=[0.33837244 0.40524423], train_acc=[0.8898  0.86425]
78/100: train_loss=[0.2910597  0.34580922], train_acc=[0.9037 0.8858]
80/100: train_loss=[0.31204098 0.3570031 ], train_acc=[0.89695 0.88165]
82/100: train_loss=[0.29891825 0.34676048], train_acc=[0.90265 0.88275]
84/100: train_loss=[0.29752302 0.3984476 ], train_acc=[0.9025 0.8671]
86/100: train_loss=[0.2961188  0.33994406], train_acc=[0.9019 0.8863]
88/100: train_loss=[0.28950104 0.33545706], train_acc=[0.90445 0.8871 ]
90/100: train_loss=[0.29788956 0.3494397 ], train_acc=[0.90235 0.8837 ]
92/100: train_loss=[0.2857084  0.33223042], train_acc=[0.9065 0.8881]
94/100: train_loss=[0.32200238 0.3652837 ], train_acc=[0.89405 0.87715]
96/100: train_loss=[0.2950627  0.33497438], train_acc=[0.9027  0.88835]
98/100: train_loss=[0.28629157 0.3401142 ], train_acc=[0.9065 0.8866]
100/100: train_loss=[0.2871352  0.33032927], train_acc=[0.90645 0.88935]
**** Time taken for mnist_1 = 4213.859894037247
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[0.92510766 1.1493466 ], train_acc=[0.6933  0.60995]
2/100: train_loss=[0.74075717 0.8846804 ], train_acc=[0.75345 0.6986 ]
4/100: train_loss=[0.60246724 0.6959808 ], train_acc=[0.80105 0.7657 ]
6/100: train_loss=[0.51986253 0.65070343], train_acc=[0.8286 0.7831]
8/100: train_loss=[0.48629066 0.5763923 ], train_acc=[0.8401 0.8073]
10/100: train_loss=[0.44552776 0.5392343 ], train_acc=[0.8517  0.82075]
12/100: train_loss=[0.43819985 0.5333496 ], train_acc=[0.8557 0.8224]
14/100: train_loss=[0.3969549  0.48835418], train_acc=[0.8696 0.8377]
16/100: train_loss=[0.38481405 0.48699963], train_acc=[0.87475 0.8369 ]
18/100: train_loss=[0.38801295 0.48016068], train_acc=[0.87295 0.84265]
20/100: train_loss=[0.360143   0.46384507], train_acc=[0.8821 0.8475]
22/100: train_loss=[0.35193148 0.43790418], train_acc=[0.8853 0.8553]
24/100: train_loss=[0.34700075 0.44054207], train_acc=[0.88775 0.85545]
26/100: train_loss=[0.33664298 0.42430967], train_acc=[0.8899 0.8597]
28/100: train_loss=[0.34916502 0.42975086], train_acc=[0.88505 0.85805]
30/100: train_loss=[0.3197924 0.4093756], train_acc=[0.89635 0.86545]
32/100: train_loss=[0.32998097 0.4258109 ], train_acc=[0.8928 0.8573]
34/100: train_loss=[0.31867453 0.4093005 ], train_acc=[0.8964 0.8653]
36/100: train_loss=[0.3098494  0.38641384], train_acc=[0.899  0.8738]
38/100: train_loss=[0.3561721  0.38815984], train_acc=[0.8841  0.87325]
40/100: train_loss=[0.30950215 0.40490684], train_acc=[0.90045 0.86585]
42/100: train_loss=[0.30759552 0.39205462], train_acc=[0.89965 0.87005]
44/100: train_loss=[0.30317253 0.3995932 ], train_acc=[0.901   0.87035]
46/100: train_loss=[0.29284614 0.37480304], train_acc=[0.9056  0.87645]
48/100: train_loss=[0.30137432 0.397887  ], train_acc=[0.9039  0.86795]
50/100: train_loss=[0.32367972 0.40839994], train_acc=[0.89555 0.866  ]
52/100: train_loss=[0.2978658 0.3926427], train_acc=[0.90415 0.87175]
54/100: train_loss=[0.29345652 0.35879025], train_acc=[0.90465 0.88125]
56/100: train_loss=[0.3074119  0.37044913], train_acc=[0.903  0.8786]
58/100: train_loss=[0.3072731 0.3756667], train_acc=[0.90195 0.87655]
60/100: train_loss=[0.29429248 0.36182582], train_acc=[0.90355 0.8814 ]
62/100: train_loss=[0.3033655  0.36844596], train_acc=[0.90035 0.8792 ]
64/100: train_loss=[0.27993506 0.35634726], train_acc=[0.9085 0.8842]
66/100: train_loss=[0.28482163 0.3665368 ], train_acc=[0.90645 0.8787 ]
68/100: train_loss=[0.29487792 0.3757984 ], train_acc=[0.90445 0.87685]
70/100: train_loss=[0.28835422 0.3649088 ], train_acc=[0.90855 0.8796 ]
72/100: train_loss=[0.27935162 0.35825557], train_acc=[0.9102 0.8834]
74/100: train_loss=[0.27588317 0.36410263], train_acc=[0.91055 0.8836 ]
76/100: train_loss=[0.28584632 0.3514801 ], train_acc=[0.9075 0.8854]
78/100: train_loss=[0.27356467 0.34148088], train_acc=[0.90995 0.8894 ]
80/100: train_loss=[0.29569584 0.35162637], train_acc=[0.90485 0.88515]
82/100: train_loss=[0.27478537 0.34200138], train_acc=[0.9098  0.88815]
84/100: train_loss=[0.2868836  0.34228092], train_acc=[0.9083  0.88875]
86/100: train_loss=[0.2752988  0.34655526], train_acc=[0.9102  0.88605]
88/100: train_loss=[0.2702818  0.35649246], train_acc=[0.91355 0.8834 ]
90/100: train_loss=[0.28626776 0.3760386 ], train_acc=[0.90895 0.87925]
92/100: train_loss=[0.26865906 0.3378268 ], train_acc=[0.91295 0.8897 ]
94/100: train_loss=[0.30973902 0.36541787], train_acc=[0.90095 0.88135]
96/100: train_loss=[0.26862317 0.34622005], train_acc=[0.9134 0.8876]
98/100: train_loss=[0.31244177 0.40177286], train_acc=[0.8989 0.8668]
100/100: train_loss=[0.27948567 0.3373575 ], train_acc=[0.9097  0.88805]
**** Time taken for mnist_2 = 4218.4366245269775
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.6577191 1.9241298], train_acc=[0.4281  0.32695]
2/100: train_loss=[1.1032462 1.4596585], train_acc=[0.6285 0.4892]
4/100: train_loss=[0.76099074 1.0499985 ], train_acc=[0.7482  0.64605]
6/100: train_loss=[0.67432475 0.9038399 ], train_acc=[0.78105 0.6938 ]
8/100: train_loss=[0.6243442  0.77019423], train_acc=[0.79325 0.7396 ]
10/100: train_loss=[0.5577252 0.7100108], train_acc=[0.81765 0.76645]
12/100: train_loss=[0.5601549 0.655787 ], train_acc=[0.8158 0.7801]
14/100: train_loss=[0.51589715 0.6210613 ], train_acc=[0.83155 0.7913 ]
16/100: train_loss=[0.48354253 0.5915009 ], train_acc=[0.83995 0.80265]
18/100: train_loss=[0.47254282 0.5724766 ], train_acc=[0.8435  0.80965]
20/100: train_loss=[0.45969835 0.55141693], train_acc=[0.8482 0.815 ]
22/100: train_loss=[0.44908997 0.5862113 ], train_acc=[0.85425 0.8013 ]
24/100: train_loss=[0.48943552 0.570155  ], train_acc=[0.84105 0.80885]
26/100: train_loss=[0.42341006 0.50624824], train_acc=[0.8623 0.8302]
28/100: train_loss=[0.41523725 0.50184596], train_acc=[0.86465 0.83075]
30/100: train_loss=[0.43702507 0.48728243], train_acc=[0.85625 0.83765]
32/100: train_loss=[0.4116807  0.49149212], train_acc=[0.8639  0.83435]
34/100: train_loss=[0.39440712 0.47822118], train_acc=[0.8716 0.8436]
36/100: train_loss=[0.38231745 0.45023602], train_acc=[0.87415 0.85085]
38/100: train_loss=[0.38257614 0.4464667 ], train_acc=[0.8748  0.85075]
40/100: train_loss=[0.3731068  0.44135758], train_acc=[0.8784 0.8514]
42/100: train_loss=[0.36459246 0.48378754], train_acc=[0.88035 0.8379 ]
44/100: train_loss=[0.37153435 0.43088415], train_acc=[0.8798  0.85865]
46/100: train_loss=[0.36868498 0.44574666], train_acc=[0.8801  0.85115]
48/100: train_loss=[0.35632205 0.44568864], train_acc=[0.88325 0.8533 ]
50/100: train_loss=[0.3481351  0.42769426], train_acc=[0.8862 0.8584]
52/100: train_loss=[0.34246266 0.4334452 ], train_acc=[0.88945 0.8595 ]
54/100: train_loss=[0.3449259  0.40664726], train_acc=[0.88875 0.86475]
56/100: train_loss=[0.35126036 0.39976382], train_acc=[0.8857  0.86575]
58/100: train_loss=[0.3318939 0.428    ], train_acc=[0.89215 0.85885]
60/100: train_loss=[0.3275117 0.393982 ], train_acc=[0.89355 0.8673 ]
62/100: train_loss=[0.32990173 0.41358083], train_acc=[0.8935  0.86465]
64/100: train_loss=[0.33488932 0.38349056], train_acc=[0.8916 0.873 ]
66/100: train_loss=[0.31766865 0.38396367], train_acc=[0.89785 0.87325]
68/100: train_loss=[0.31602132 0.38022318], train_acc=[0.89925 0.87345]
70/100: train_loss=[0.31288996 0.37718585], train_acc=[0.8997 0.874 ]
72/100: train_loss=[0.3248304  0.39217657], train_acc=[0.8941 0.869 ]
74/100: train_loss=[0.32041517 0.37419748], train_acc=[0.8957 0.8762]
76/100: train_loss=[0.30987892 0.38287944], train_acc=[0.89755 0.87435]
78/100: train_loss=[0.3120412  0.40703425], train_acc=[0.8989 0.8645]
80/100: train_loss=[0.3085414  0.36865667], train_acc=[0.9013 0.878 ]
82/100: train_loss=[0.3090567  0.37097907], train_acc=[0.9012  0.87725]
84/100: train_loss=[0.29895753 0.358668  ], train_acc=[0.90385 0.88025]
86/100: train_loss=[0.29897523 0.36482733], train_acc=[0.9045 0.8784]
88/100: train_loss=[0.30622235 0.375302  ], train_acc=[0.902  0.8774]
90/100: train_loss=[0.2996318  0.36085343], train_acc=[0.9042  0.87905]
92/100: train_loss=[0.29677108 0.3688196 ], train_acc=[0.90335 0.8792 ]
94/100: train_loss=[0.29526156 0.3597227 ], train_acc=[0.90435 0.88075]
96/100: train_loss=[0.2957608  0.37001655], train_acc=[0.9035 0.8776]
98/100: train_loss=[0.29531536 0.3858124 ], train_acc=[0.9048  0.87285]
100/100: train_loss=[0.30504492 0.35766372], train_acc=[0.89985 0.88005]
**** Time taken for mnist_3 = 4319.5294234752655
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3262929 1.5267206], train_acc=[0.5562 0.4745]
2/100: train_loss=[1.036126  1.2863225], train_acc=[0.65015 0.56565]
4/100: train_loss=[0.7803855 0.911338 ], train_acc=[0.74065 0.692  ]
6/100: train_loss=[0.6579035 0.8204076], train_acc=[0.7825  0.72025]
8/100: train_loss=[0.6460275  0.77456486], train_acc=[0.785  0.7422]
10/100: train_loss=[0.55796427 0.66757786], train_acc=[0.8173 0.7774]
12/100: train_loss=[0.5589706  0.66226614], train_acc=[0.8153 0.782 ]
14/100: train_loss=[0.5198775 0.5862988], train_acc=[0.82915 0.80625]
16/100: train_loss=[0.49204838 0.564195  ], train_acc=[0.8369 0.81  ]
18/100: train_loss=[0.48166275 0.5502278 ], train_acc=[0.83875 0.81855]
20/100: train_loss=[0.4756513  0.54633546], train_acc=[0.8429  0.81775]
22/100: train_loss=[0.45024893 0.528289  ], train_acc=[0.85245 0.82645]
24/100: train_loss=[0.44799733 0.50092465], train_acc=[0.85315 0.8323 ]
26/100: train_loss=[0.42914867 0.49331918], train_acc=[0.8589  0.83385]
28/100: train_loss=[0.429615 0.496174], train_acc=[0.8596  0.83485]
30/100: train_loss=[0.40536076 0.4687017 ], train_acc=[0.86695 0.8432 ]
32/100: train_loss=[0.40647513 0.4930641 ], train_acc=[0.8657  0.83675]
34/100: train_loss=[0.38767654 0.45544192], train_acc=[0.8723  0.84625]
36/100: train_loss=[0.37943017 0.44255564], train_acc=[0.87585 0.85225]
38/100: train_loss=[0.38269028 0.47118774], train_acc=[0.8739 0.8429]
40/100: train_loss=[0.37343508 0.45543507], train_acc=[0.87615 0.84745]
42/100: train_loss=[0.3904589  0.42951775], train_acc=[0.87295 0.8568 ]
44/100: train_loss=[0.36480036 0.42326277], train_acc=[0.88055 0.8593 ]
46/100: train_loss=[0.36893114 0.4257198 ], train_acc=[0.87955 0.85815]
48/100: train_loss=[0.3564731  0.42513546], train_acc=[0.8848  0.85815]
50/100: train_loss=[0.352355  0.4070962], train_acc=[0.8866  0.86475]
52/100: train_loss=[0.35746515 0.4152975 ], train_acc=[0.8843 0.8608]
54/100: train_loss=[0.34967867 0.41636935], train_acc=[0.88485 0.8602 ]
56/100: train_loss=[0.34034535 0.40821216], train_acc=[0.88975 0.86435]
58/100: train_loss=[0.36106142 0.41579056], train_acc=[0.88275 0.8607 ]
60/100: train_loss=[0.35499376 0.42244726], train_acc=[0.8834 0.86  ]
62/100: train_loss=[0.32984734 0.40460584], train_acc=[0.892   0.86615]
64/100: train_loss=[0.33260843 0.3881319 ], train_acc=[0.8915 0.8703]
66/100: train_loss=[0.32919535 0.39414534], train_acc=[0.89355 0.8676 ]
68/100: train_loss=[0.37095207 0.4386015 ], train_acc=[0.88265 0.85355]
70/100: train_loss=[0.33832142 0.3919504 ], train_acc=[0.8908 0.8702]
72/100: train_loss=[0.384486   0.47382748], train_acc=[0.8753 0.8418]
74/100: train_loss=[0.3465291  0.43364334], train_acc=[0.888  0.8539]
76/100: train_loss=[0.33981118 0.3875137 ], train_acc=[0.8897 0.8705]
78/100: train_loss=[0.3113923  0.37481302], train_acc=[0.8979 0.8738]
80/100: train_loss=[0.33082223 0.41548863], train_acc=[0.89085 0.86125]
82/100: train_loss=[0.3153199  0.37336168], train_acc=[0.89625 0.8744 ]
84/100: train_loss=[0.33757743 0.37891883], train_acc=[0.8911  0.87075]
86/100: train_loss=[0.31360656 0.37300405], train_acc=[0.8973 0.8751]
88/100: train_loss=[0.31162623 0.37168983], train_acc=[0.8987 0.8758]
90/100: train_loss=[0.32290468 0.3982029 ], train_acc=[0.8934  0.86705]
92/100: train_loss=[0.32014003 0.37515703], train_acc=[0.8952 0.8725]
94/100: train_loss=[0.32770482 0.37603697], train_acc=[0.8922 0.8714]
96/100: train_loss=[0.2975947  0.36262977], train_acc=[0.90345 0.8768 ]
98/100: train_loss=[0.3083693  0.36854327], train_acc=[0.8988 0.8768]
100/100: train_loss=[0.30338487 0.37434778], train_acc=[0.9011  0.87585]
**** Time taken for mnist_4 = 4290.533138036728
**** Time taken for mnist = 21182.69929742813
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1938242 1.2441943], train_acc=[0.55595 0.54195]
2/100: train_loss=[0.99425304 1.0510124 ], train_acc=[0.6325  0.60685]
4/100: train_loss=[0.89381635 0.95423716], train_acc=[0.6674 0.6465]
6/100: train_loss=[0.8268319  0.86246127], train_acc=[0.6922  0.68115]
8/100: train_loss=[0.80617136 0.8277443 ], train_acc=[0.698  0.6935]
10/100: train_loss=[0.7991874  0.79062295], train_acc=[0.70165 0.70815]
12/100: train_loss=[0.80234164 0.7990102 ], train_acc=[0.69615 0.70095]
14/100: train_loss=[0.72698647 0.7549755 ], train_acc=[0.7284 0.721 ]
16/100: train_loss=[0.7212781 0.7549989], train_acc=[0.7311 0.7231]
18/100: train_loss=[0.71228   0.7180245], train_acc=[0.73365 0.7347 ]
20/100: train_loss=[0.69371   0.7520541], train_acc=[0.7432  0.71885]
22/100: train_loss=[0.69128776 0.7290222 ], train_acc=[0.7375 0.7319]
24/100: train_loss=[0.68053925 0.68673944], train_acc=[0.7448 0.7472]
26/100: train_loss=[0.66823804 0.68601733], train_acc=[0.7488 0.7509]
28/100: train_loss=[0.6625753 0.6894147], train_acc=[0.7539 0.7461]
30/100: train_loss=[0.6848476  0.67495066], train_acc=[0.74365 0.75375]
32/100: train_loss=[0.6516574 0.6722874], train_acc=[0.7603  0.75795]
34/100: train_loss=[0.640259   0.65392816], train_acc=[0.7614  0.75875]
36/100: train_loss=[0.6671318 0.6821265], train_acc=[0.7506 0.7527]
38/100: train_loss=[0.62839985 0.643927  ], train_acc=[0.76685 0.7607 ]
40/100: train_loss=[0.6362973  0.65127635], train_acc=[0.7641  0.75695]
42/100: train_loss=[0.628589   0.63848233], train_acc=[0.7666  0.76525]
44/100: train_loss=[0.62875396 0.6524912 ], train_acc=[0.76785 0.758  ]
46/100: train_loss=[0.61569506 0.6549137 ], train_acc=[0.77115 0.7592 ]
48/100: train_loss=[0.6153183 0.6530834], train_acc=[0.7702 0.7577]
50/100: train_loss=[0.5933133  0.61817735], train_acc=[0.77975 0.7686 ]
52/100: train_loss=[0.6096301  0.62071043], train_acc=[0.77475 0.7675 ]
54/100: train_loss=[0.60262495 0.60315514], train_acc=[0.7762  0.77865]
56/100: train_loss=[0.6248099 0.6073654], train_acc=[0.7667 0.7741]
58/100: train_loss=[0.58812493 0.5994631 ], train_acc=[0.782   0.78095]
60/100: train_loss=[0.596445  0.6512054], train_acc=[0.7759 0.7581]
62/100: train_loss=[0.61478937 0.6075657 ], train_acc=[0.7712 0.7733]
64/100: train_loss=[0.62699074 0.64149773], train_acc=[0.7658  0.76635]
66/100: train_loss=[0.5793314 0.6155957], train_acc=[0.7861  0.76825]
68/100: train_loss=[0.56837523 0.5787596 ], train_acc=[0.78805 0.7849 ]
70/100: train_loss=[0.5784059 0.5746559], train_acc=[0.7871 0.7876]
72/100: train_loss=[0.5895049 0.6015896], train_acc=[0.7789 0.7774]
74/100: train_loss=[0.57552433 0.5734522 ], train_acc=[0.78475 0.78605]
76/100: train_loss=[0.618015   0.58102995], train_acc=[0.76955 0.7836 ]
78/100: train_loss=[0.5578252 0.5783856], train_acc=[0.79485 0.7845 ]
80/100: train_loss=[0.56417894 0.5687228 ], train_acc=[0.7906  0.79025]
82/100: train_loss=[0.5748909  0.58808404], train_acc=[0.7857 0.7832]
84/100: train_loss=[0.57412827 0.60982907], train_acc=[0.78575 0.7791 ]
86/100: train_loss=[0.62885034 0.6018712 ], train_acc=[0.7696  0.77415]
88/100: train_loss=[0.55768335 0.561914  ], train_acc=[0.7933 0.7958]
90/100: train_loss=[0.5464177 0.5538848], train_acc=[0.7968 0.7963]
92/100: train_loss=[0.556027   0.57021433], train_acc=[0.79015 0.78935]
94/100: train_loss=[0.55441564 0.561423  ], train_acc=[0.79475 0.79115]
96/100: train_loss=[0.5499923  0.55710137], train_acc=[0.79425 0.79365]
98/100: train_loss=[0.5350249  0.54850966], train_acc=[0.80165 0.7993 ]
100/100: train_loss=[0.5444723  0.55268127], train_acc=[0.79385 0.79505]
**** Time taken for fashion_0 = 3926.0060431957245
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1572008 1.2117234], train_acc=[0.57295 0.557  ]
2/100: train_loss=[0.9965375 1.0593405], train_acc=[0.6243  0.60825]
4/100: train_loss=[0.87591016 0.9332317 ], train_acc=[0.6743 0.6586]
6/100: train_loss=[0.84357756 0.8614123 ], train_acc=[0.68375 0.68655]
8/100: train_loss=[0.78240156 0.8272099 ], train_acc=[0.7068 0.6954]
10/100: train_loss=[0.763428   0.81687593], train_acc=[0.71645 0.70055]
12/100: train_loss=[0.7601419  0.77317375], train_acc=[0.7208 0.7181]
14/100: train_loss=[0.72925943 0.7400036 ], train_acc=[0.7268  0.72615]
16/100: train_loss=[0.7248146  0.71594805], train_acc=[0.7283  0.73495]
18/100: train_loss=[0.6882189 0.7094352], train_acc=[0.74795 0.73965]
20/100: train_loss=[0.6863784  0.71684754], train_acc=[0.7479 0.736 ]
22/100: train_loss=[0.66921645 0.6740813 ], train_acc=[0.75415 0.75065]
24/100: train_loss=[0.6515803  0.66467255], train_acc=[0.7599 0.7541]
26/100: train_loss=[0.64042276 0.6693036 ], train_acc=[0.7643 0.7552]
28/100: train_loss=[0.65175855 0.66454256], train_acc=[0.7595 0.7568]
30/100: train_loss=[0.6210311 0.6365181], train_acc=[0.7698  0.76585]
32/100: train_loss=[0.6641644  0.65170616], train_acc=[0.75425 0.7615 ]
34/100: train_loss=[0.609082   0.61897403], train_acc=[0.774 0.773]
36/100: train_loss=[0.6071571 0.6216291], train_acc=[0.77805 0.77255]
38/100: train_loss=[0.6038424 0.6252558], train_acc=[0.77745 0.7691 ]
40/100: train_loss=[0.5963302 0.6046922], train_acc=[0.7825 0.7784]
42/100: train_loss=[0.60165423 0.6176442 ], train_acc=[0.7775  0.77075]
44/100: train_loss=[0.5789113 0.6004778], train_acc=[0.78715 0.78115]
46/100: train_loss=[0.5862597 0.5948969], train_acc=[0.7829 0.781 ]
48/100: train_loss=[0.582593   0.58986855], train_acc=[0.7845 0.783 ]
50/100: train_loss=[0.6079699 0.5868775], train_acc=[0.77415 0.7826 ]
52/100: train_loss=[0.57810503 0.57826465], train_acc=[0.78845 0.7879 ]
54/100: train_loss=[0.5705907 0.5790589], train_acc=[0.79245 0.78815]
56/100: train_loss=[0.576761  0.5983701], train_acc=[0.7892  0.78155]
58/100: train_loss=[0.5745437 0.57201  ], train_acc=[0.78845 0.7906 ]
60/100: train_loss=[0.55383486 0.5702744 ], train_acc=[0.79625 0.7908 ]
62/100: train_loss=[0.5575953  0.59276944], train_acc=[0.79795 0.78405]
