==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (4/5):
[0.382756   0.92384946]
fealsible solution is obtained.
1/100: weights=[ 0.99499184 -0.00500816], train_loss=[1.1220326 1.6082925], train_acc=[0.5906  0.42945]
**** Time taken for fashion_4 = 935.6255657672882
**** Time taken for fashion = 1838.0352551937103
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (1/5):
[1.0000000e+00 1.5707963e-04]
fealsible solution is obtained.
1/100: weights=[0.0906344  0.90936565], train_loss=[2.779328  0.8763088], train_acc=[0.1456 0.685 ]
2/100: weights=[-0.02968439  0.97031564], train_loss=[2.2037773  0.77452594], train_acc=[0.2501 0.714 ]
4/100: weights=[0.3848319  0.61516804], train_loss=[1.8035246 0.6777064], train_acc=[0.37205 0.7469 ]
6/100: weights=[-0.08460514  0.9153949 ], train_loss=[1.5708709  0.64241767], train_acc=[0.45365 0.7594 ]
8/100: weights=[0.03002108 0.9699789 ], train_loss=[1.3873307 0.6116884], train_acc=[0.5252 0.7733]
10/100: weights=[0.12955663 0.87044334], train_loss=[1.2668624 0.5923129], train_acc=[0.56895 0.781  ]
12/100: weights=[0.3625288  0.63747126], train_loss=[1.1793776 0.5838057], train_acc=[0.6016  0.78335]
14/100: weights=[0.16618018 0.83381975], train_loss=[1.1063256 0.5787271], train_acc=[0.63    0.78575]
16/100: weights=[0.01648961 0.98351043], train_loss=[1.0425823  0.56109285], train_acc=[0.65085 0.7892 ]
18/100: weights=[0.13044944 0.8695506 ], train_loss=[0.9935726 0.5399055], train_acc=[0.6689 0.7995]
20/100: weights=[0.14799052 0.8520095 ], train_loss=[0.9580266  0.56387806], train_acc=[0.6822  0.79095]
22/100: weights=[0.13198787 0.86801213], train_loss=[0.91059035 0.52505   ], train_acc=[0.70065 0.8059 ]
24/100: weights=[0.2183268 0.7816732], train_loss=[0.89633965 0.52169734], train_acc=[0.70385 0.8072 ]
26/100: weights=[0.29083678 0.70916325], train_loss=[0.8496465 0.5208802], train_acc=[0.72395 0.81045]
28/100: weights=[0.11617644 0.8838235 ], train_loss=[0.81966805 0.51922685], train_acc=[0.73085 0.81055]
30/100: weights=[0.03666486 0.96333516], train_loss=[0.78912556 0.50340146], train_acc=[0.74155 0.81615]
32/100: weights=[0.03389868 0.96610135], train_loss=[0.76221514 0.4995532 ], train_acc=[0.7504  0.81755]
34/100: weights=[0.18163183 0.8183682 ], train_loss=[0.75685054 0.51308256], train_acc=[0.74985 0.8124 ]
36/100: weights=[0.12892653 0.8710735 ], train_loss=[0.7342725 0.4871863], train_acc=[0.75995 0.8235 ]
38/100: weights=[0.14757834 0.8524216 ], train_loss=[0.726759   0.48975968], train_acc=[0.7627  0.82145]
40/100: weights=[0.16664705 0.83335286], train_loss=[0.70703864 0.49439183], train_acc=[0.76635 0.82055]
42/100: weights=[0.3136471  0.68635297], train_loss=[0.6940529  0.48297188], train_acc=[0.7703 0.8241]
44/100: weights=[0.31632692 0.6836731 ], train_loss=[0.7001906  0.47282788], train_acc=[0.7691  0.82655]
46/100: weights=[0.28876033 0.71123964], train_loss=[0.6687549  0.47353306], train_acc=[0.781   0.82455]
48/100: weights=[0.08147755 0.9185225 ], train_loss=[0.65383196 0.48448694], train_acc=[0.784   0.82315]
50/100: weights=[0.22503924 0.7749607 ], train_loss=[0.6660456 0.480173 ], train_acc=[0.78165 0.82375]
52/100: weights=[0.03284008 0.9671599 ], train_loss=[0.63726187 0.46009204], train_acc=[0.7906 0.8319]
54/100: weights=[0.12479252 0.8752075 ], train_loss=[0.63651204 0.45816255], train_acc=[0.7922 0.8332]
56/100: weights=[0.19522874 0.8047713 ], train_loss=[0.6256078 0.4513122], train_acc=[0.79375 0.83675]
58/100: weights=[0.07980018 0.9201998 ], train_loss=[0.6211743  0.45252368], train_acc=[0.7959  0.83665]
60/100: weights=[0.08432931 0.9156707 ], train_loss=[0.6127234  0.45112357], train_acc=[0.7996  0.83575]
62/100: weights=[0.05700948 0.94299054], train_loss=[0.6037877  0.44510767], train_acc=[0.801   0.83665]
64/100: weights=[0.09295661 0.90704334], train_loss=[0.60942316 0.4607061 ], train_acc=[0.79855 0.8357 ]
66/100: weights=[0.08804467 0.91195536], train_loss=[0.59545255 0.44930217], train_acc=[0.804  0.8359]
68/100: weights=[0.06253882 0.93746126], train_loss=[0.5998428  0.43853596], train_acc=[0.80245 0.8417 ]
70/100: weights=[0.13341095 0.86658907], train_loss=[0.5874837 0.4495421], train_acc=[0.8072  0.83965]
72/100: weights=[0.22802177 0.77197826], train_loss=[0.5813859  0.44462124], train_acc=[0.80965 0.83845]
74/100: weights=[0.2800542 0.7199458], train_loss=[0.5875567  0.44261596], train_acc=[0.8055 0.8381]
76/100: weights=[0.09987523 0.9001248 ], train_loss=[0.5768521  0.46639243], train_acc=[0.80975 0.83   ]
78/100: weights=[0.26675135 0.7332486 ], train_loss=[0.57438093 0.45280042], train_acc=[0.81135 0.83755]
80/100: weights=[0.1079352  0.89206487], train_loss=[0.5721897 0.4337735], train_acc=[0.8104  0.84355]
82/100: weights=[0.14437748 0.8556225 ], train_loss=[0.5616007 0.4295535], train_acc=[0.81485 0.84465]
84/100: weights=[0.10909801 0.89090204], train_loss=[0.58636814 0.4764049 ], train_acc=[0.8085 0.8248]
86/100: weights=[0.23742595 0.7625741 ], train_loss=[0.5623448 0.4258705], train_acc=[0.81615 0.8473 ]
88/100: weights=[0.09777816 0.90222174], train_loss=[0.5720472 0.4291209], train_acc=[0.812  0.8467]
90/100: weights=[0.30806896 0.6919311 ], train_loss=[0.5513666  0.42575857], train_acc=[0.81925 0.8487 ]
92/100: weights=[0.1828419  0.81715816], train_loss=[0.5591894  0.43039834], train_acc=[0.81465 0.84645]
94/100: weights=[0.14429997 0.85569996], train_loss=[0.5458863 0.4415041], train_acc=[0.82005 0.8433 ]
96/100: weights=[0.16112745 0.83887255], train_loss=[0.54844385 0.42204016], train_acc=[0.8198 0.8494]
98/100: weights=[0.02070344 0.97929657], train_loss=[0.5530548  0.42752835], train_acc=[0.81795 0.84785]
100/100: weights=[0.07873455 0.9212655 ], train_loss=[0.53366286 0.42887145], train_acc=[0.82545 0.84785]
**** Time taken for fashion_and_mnist_0 = 929.8935925960541
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (2/5):
[0.92384946 0.382756  ]
fealsible solution is obtained.
1/100: weights=[0.19577776 0.8042222 ], train_loss=[1.7822886 1.134306 ], train_acc=[0.3863 0.5756]
2/100: weights=[0.46913126 0.53086877], train_loss=[1.3625597  0.91203076], train_acc=[0.53865 0.66125]
4/100: weights=[0.63432556 0.36567444], train_loss=[1.1291025 0.7870699], train_acc=[0.6197 0.7124]
6/100: weights=[0.5554598  0.44454023], train_loss=[0.9751747  0.73412603], train_acc=[0.6684 0.732 ]
8/100: weights=[0.1095674  0.89043254], train_loss=[0.9111057  0.71311545], train_acc=[0.6921 0.7368]
10/100: weights=[0.24362633 0.7563736 ], train_loss=[0.86234903 0.67233986], train_acc=[0.71125 0.75385]
12/100: weights=[0.08857049 0.9114295 ], train_loss=[0.83676237 0.64873934], train_acc=[0.7203  0.75805]
14/100: weights=[-0.02257549  0.9774245 ], train_loss=[0.8012982  0.65043086], train_acc=[0.73155 0.7584 ]
16/100: weights=[0.13834247 0.8616576 ], train_loss=[0.7698522 0.6243638], train_acc=[0.7433 0.7694]
18/100: weights=[0.4806722  0.51932776], train_loss=[0.7816888 0.607428 ], train_acc=[0.73695 0.7722 ]
20/100: weights=[0.0961427  0.90385735], train_loss=[0.73238045 0.6112822 ], train_acc=[0.75515 0.7716 ]
22/100: weights=[0.19101234 0.8089876 ], train_loss=[0.7211756  0.62148315], train_acc=[0.7617  0.76915]
24/100: weights=[-0.01999574  0.9800042 ], train_loss=[0.7168138 0.5745826], train_acc=[0.76155 0.7899 ]
26/100: weights=[0.13384072 0.86615926], train_loss=[0.69876826 0.5917345 ], train_acc=[0.7691  0.77675]
28/100: weights=[0.24955879 0.75044125], train_loss=[0.69120735 0.56040686], train_acc=[0.77165 0.7942 ]
30/100: weights=[0.05846219 0.94153786], train_loss=[0.68542856 0.5798437 ], train_acc=[0.7731 0.7875]
32/100: weights=[0.14078087 0.85921913], train_loss=[0.6718546 0.5478156], train_acc=[0.77885 0.7996 ]
34/100: weights=[0.17840858 0.82159144], train_loss=[0.67352974 0.55104494], train_acc=[0.78   0.7975]
36/100: weights=[0.01982096 0.9801791 ], train_loss=[0.66143966 0.64668506], train_acc=[0.78265 0.75315]
38/100: weights=[0.12053517 0.87946475], train_loss=[0.6457997 0.5292911], train_acc=[0.78655 0.8067 ]
40/100: weights=[0.19625722 0.8037429 ], train_loss=[0.6433247  0.53097314], train_acc=[0.78845 0.8046 ]
42/100: weights=[0.42613193 0.57386804], train_loss=[0.64680743 0.5309068 ], train_acc=[0.78685 0.8037 ]
44/100: weights=[0.14891528 0.8510847 ], train_loss=[0.64491767 0.53101134], train_acc=[0.78825 0.8036 ]
46/100: weights=[0.09903862 0.9009614 ], train_loss=[0.6223196  0.52954906], train_acc=[0.7951  0.80385]
48/100: weights=[0.27347466 0.7265253 ], train_loss=[0.623078   0.51199347], train_acc=[0.7939 0.8141]
50/100: weights=[-0.08561422  0.9143858 ], train_loss=[0.6193216  0.51793945], train_acc=[0.7938  0.80865]
52/100: weights=[0.01701468 0.98298526], train_loss=[0.60531616 0.5248152 ], train_acc=[0.79695 0.8043 ]
54/100: weights=[0.1872256 0.8127744], train_loss=[0.6031275  0.51426995], train_acc=[0.8     0.81355]
56/100: weights=[0.2696     0.73039997], train_loss=[0.60866565 0.5022637 ], train_acc=[0.79745 0.81735]
58/100: weights=[0.06440657 0.9355935 ], train_loss=[0.5976135 0.5104268], train_acc=[0.8017  0.81685]
60/100: weights=[0.2021804 0.7978196], train_loss=[0.59017557 0.50637454], train_acc=[0.8035  0.81385]
62/100: weights=[0.2754187 0.7245813], train_loss=[0.58853334 0.49822575], train_acc=[0.80585 0.8183 ]
64/100: weights=[0.15676713 0.8432329 ], train_loss=[0.5725318  0.49321535], train_acc=[0.8102  0.81975]
66/100: weights=[0.04519339 0.9548066 ], train_loss=[0.5716988 0.4950429], train_acc=[0.8101  0.82035]
68/100: weights=[0.09721032 0.90278965], train_loss=[0.5678561 0.4879139], train_acc=[0.81135 0.8237 ]
70/100: weights=[0.17884018 0.8211598 ], train_loss=[0.56971484 0.510429  ], train_acc=[0.8115 0.8132]
72/100: weights=[0.05102078 0.9489792 ], train_loss=[0.560099  0.5025293], train_acc=[0.8149 0.8193]
74/100: weights=[0.12216033 0.8778397 ], train_loss=[0.557475   0.50807977], train_acc=[0.81425 0.81845]
76/100: weights=[0.4617109  0.53828907], train_loss=[0.6085006 0.4852326], train_acc=[0.7987  0.82425]
78/100: weights=[0.08543068 0.91456926], train_loss=[0.5468557  0.50100213], train_acc=[0.82045 0.81505]
80/100: weights=[0.25874102 0.741259  ], train_loss=[0.5487786  0.49408978], train_acc=[0.8175 0.822 ]
82/100: weights=[0.19908139 0.80091864], train_loss=[0.54953283 0.4749349 ], train_acc=[0.81795 0.82925]
84/100: weights=[0.43965265 0.5603473 ], train_loss=[0.5424438  0.46771723], train_acc=[0.8192 0.8298]
86/100: weights=[0.12293422 0.8770658 ], train_loss=[0.5399772  0.48047167], train_acc=[0.82185 0.82545]
88/100: weights=[0.19408016 0.8059198 ], train_loss=[0.54358625 0.48814568], train_acc=[0.81995 0.824  ]
90/100: weights=[0.2937695  0.70623046], train_loss=[0.54779845 0.4773746 ], train_acc=[0.81905 0.8262 ]
92/100: weights=[0.08653433 0.9134656 ], train_loss=[0.5266273  0.46727204], train_acc=[0.82625 0.83085]
94/100: weights=[0.08937196 0.910628  ], train_loss=[0.5212567  0.46842137], train_acc=[0.8288 0.8315]
96/100: weights=[0.11131272 0.88868725], train_loss=[0.5189778 0.4861224], train_acc=[0.8285 0.8259]
98/100: weights=[0.18734607 0.8126539 ], train_loss=[0.5226962  0.47749507], train_acc=[0.82645 0.82405]
100/100: weights=[0.00879754 0.9912024 ], train_loss=[0.5187006  0.46218693], train_acc=[0.8302 0.8326]
**** Time taken for fashion_and_mnist_1 = 893.2700793743134
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (3/5):
[0.70710677 0.70710677]
fealsible solution is obtained.
1/100: weights=[0.5041339 0.4958661], train_loss=[1.4568089 1.383739 ], train_acc=[0.5087 0.5069]
2/100: weights=[0.59619886 0.40380114], train_loss=[1.1543221 1.126717 ], train_acc=[0.612   0.60065]
4/100: weights=[0.6767521 0.3232479], train_loss=[0.82433033 0.8493045 ], train_acc=[0.7301 0.6923]
6/100: weights=[0.3405128 0.6594872], train_loss=[0.70163244 0.78099895], train_acc=[0.76925 0.71495]
8/100: weights=[0.5376825 0.4623175], train_loss=[0.6326926  0.74106824], train_acc=[0.79375 0.7293 ]
10/100: weights=[0.5300644 0.4699356], train_loss=[0.5901282  0.70603347], train_acc=[0.8061  0.74375]
12/100: weights=[0.37619004 0.62380993], train_loss=[0.5598164  0.68373483], train_acc=[0.8167  0.75035]
14/100: weights=[0.5939074 0.4060926], train_loss=[0.5418635 0.6679228], train_acc=[0.82115 0.7546 ]
16/100: weights=[0.16591062 0.8340894 ], train_loss=[0.5122015  0.64645994], train_acc=[0.83275 0.76165]
18/100: weights=[0.42952588 0.5704741 ], train_loss=[0.480563 0.625132], train_acc=[0.8437  0.77365]
20/100: weights=[0.21946652 0.7805335 ], train_loss=[0.4633143 0.6245293], train_acc=[0.8488  0.77315]
22/100: weights=[0.26996186 0.7300381 ], train_loss=[0.44656557 0.61410415], train_acc=[0.8551 0.776 ]
24/100: weights=[-2.4867587e-04  9.9975127e-01], train_loss=[0.44354245 0.63976884], train_acc=[0.85425 0.75835]
26/100: weights=[0.37026182 0.62973815], train_loss=[0.43528295 0.59398365], train_acc=[0.8587  0.78185]
28/100: weights=[0.26903835 0.7309617 ], train_loss=[0.4244804 0.6102917], train_acc=[0.86275 0.7703 ]
30/100: weights=[0.13952912 0.8604709 ], train_loss=[0.42089728 0.57161766], train_acc=[0.8638 0.7911]
32/100: weights=[0.06280173 0.9371983 ], train_loss=[0.40865287 0.5678123 ], train_acc=[0.86795 0.7911 ]
34/100: weights=[0.18657668 0.81342334], train_loss=[0.39581284 0.55760926], train_acc=[0.87315 0.79535]
36/100: weights=[0.1056141  0.89438593], train_loss=[0.3984871  0.58985287], train_acc=[0.87115 0.7874 ]
38/100: weights=[0.5567704  0.44322962], train_loss=[0.38987145 0.5492052 ], train_acc=[0.87375 0.8005 ]
40/100: weights=[0.27643657 0.72356343], train_loss=[0.38222566 0.5485416 ], train_acc=[0.8774  0.79775]
42/100: weights=[0.41459012 0.5854099 ], train_loss=[0.3769738 0.5510053], train_acc=[0.87805 0.79885]
44/100: weights=[0.2880277 0.7119723], train_loss=[0.3739517 0.5303348], train_acc=[0.8781 0.805 ]
46/100: weights=[0.4951965  0.50480354], train_loss=[0.39801243 0.5397568 ], train_acc=[0.86905 0.79845]
48/100: weights=[0.36413118 0.6358688 ], train_loss=[0.3653764  0.53317684], train_acc=[0.881 0.802]
50/100: weights=[0.2029623 0.7970377], train_loss=[0.3585066  0.53529423], train_acc=[0.88415 0.80425]
52/100: weights=[0.5017911 0.4982089], train_loss=[0.3579779  0.52014333], train_acc=[0.8832  0.81005]
54/100: weights=[0.1307814 0.8692186], train_loss=[0.35327476 0.5510721 ], train_acc=[0.8857 0.8004]
56/100: weights=[0.43818986 0.56181014], train_loss=[0.37709904 0.52812004], train_acc=[0.87805 0.80575]
58/100: weights=[0.471055   0.52894497], train_loss=[0.35567987 0.5154763 ], train_acc=[0.88615 0.8124 ]
60/100: weights=[0.3401355 0.6598645], train_loss=[0.3540181  0.51806724], train_acc=[0.8843  0.81135]
62/100: weights=[0.11577865 0.8842214 ], train_loss=[0.33974752 0.51361406], train_acc=[0.8895  0.80925]
64/100: weights=[0.19621491 0.8037851 ], train_loss=[0.34512812 0.5025176 ], train_acc=[0.88875 0.8162 ]
